Opening	Count	%
G1-Q-A1-A2	62	6.1752987
G1-Q-S1-S1	55	5.4780874
G1-Q-A1-A1	47	4.681275
G1-Q-S1-A1	45	4.482072
G1-Q-A1-S1	26	2.5896413
G1-G2-Q-A1	26	2.5896413
L1-M1-Q-A1	22	2.191235
S1-Q-A1-A1	21	2.0916336
S1-A1-Q-A1	21	2.0916336
G1-Q-P-A1	17	1.693227
B1-Q-A1-A2	17	1.693227
S1-Q-A1-A2	15	1.4940239
G1-Q-G2-A1	14	1.3944223
B1-Q-A1-A1	13	1.2948207
B1-M1-Q-A1	12	1.1952192
S1-A1-Q-A2	11	1.0956175
G1-G2-Q-G2	11	1.0956175
P-Q-S1-S1	10	0.99601597
G1-G2-Q-S1	10	0.99601597
G1-A1-Q-A2	10	0.99601597
S1-Q-S2-S2	9	0.89641434
P-Q-A1-A1	9	0.89641434
L1-Q-A1-A2	9	0.89641434
L1-G1-Q-A1	9	0.89641434
G1-Q-S1-G2	9	0.89641434
S1-S2-Q-A1	8	0.7968128
Q-S1-A1-A1	8	0.7968128
Q-A1-A1-B1	8	0.7968128
G1-Q-S1-S2	8	0.7968128
G1-Q-P-S1	8	0.7968128
G1-Q-A1-G2	8	0.7968128
G1-A1-Q-A1	8	0.7968128
B1-Q-S1-S1	8	0.7968128
B1-G1-Q-A1	8	0.7968128
Q-S1-S1-B1	7	0.69721115
L1-M1-Q-S1	7	0.69721115
Q-A1-A2-A2	6	0.5976096
G1-S1-Q-A1	6	0.5976096
B1-A1-Q-A1	6	0.5976096
S1-Q-S2-A1	5	0.49800798
Q-A1-A1-S1	5	0.49800798
P-Q-A1-A2	5	0.49800798
L1-Q-S1-A1	5	0.49800798
L1-A1-Q-A2	5	0.49800798
G1-Q-A1-M1	5	0.49800798
G1-B1-Q-A1	5	0.49800798
G1-A1-Q-S1	5	0.49800798
B1-Q-S1-A1	5	0.49800798
B1-Q-A1-S1	5	0.49800798
S1-Q-A1-S2	4	0.3984064
S1-Q-A1-Q	4	0.3984064
Q-S1-S1-A1	4	0.3984064
L1-Q-S1-S1	4	0.3984064
L1-Q-A1-M1	4	0.3984064
G1-S1-Q-S1	4	0.3984064
G1-Q-G2-S1	4	0.3984064
G1-A1-Q-G2	4	0.3984064
B1-S1-Q-A1	4	0.3984064
B1-Q-Q-B1	4	0.3984064
B1-A1-Q-A2	4	0.3984064
S1-S2-B1-Q	3	0.2988048
S1-Q-Q-Q	3	0.2988048
S1-G1-Q-G1	3	0.2988048
S1-A1-Q-S2	3	0.2988048
Q-S1-S2-S2	3	0.2988048
Q-A1-A1-M1	3	0.2988048
Q-A1-A1-A2	3	0.2988048
Q-A1-A1-A1	3	0.2988048
P-Q-B1-B1	3	0.2988048
P-Q-A1-S1	3	0.2988048
G1-S1-Q-S2	3	0.2988048
G1-Q-S1-P	3	0.2988048
G1-Q-B1-S1	3	0.2988048
G1-Q-B1-B1	3	0.2988048
G1-Q-A1-P	3	0.2988048
G1-Q-A1-B1	3	0.2988048
G1-P-Q-A1	3	0.2988048
G1-M1-Q-A1	3	0.2988048
G1-G2-G3-Q	3	0.2988048
G1-B1-Q-S1	3	0.2988048
B1-S1-A1-Q	3	0.2988048
B1-Q-S1-S2	3	0.2988048
B1-Q-M1-A1	3	0.2988048
S1-S2-A1-Q	2	0.1992032
S1-Q-Q-S1	2	0.1992032
S1-Q-Q-B1	2	0.1992032
S1-Q-Q-A1	2	0.1992032
S1-Q-A1-G1	2	0.1992032
S1-Q-A1-B1	2	0.1992032
S1-L1-M1-Q	2	0.1992032
S1-G1-Q-S2	2	0.1992032
S1-G1-Q-G2	2	0.1992032
S1-G1-Q-A1	2	0.1992032
S1-G1-A1-Q	2	0.1992032
S1-B1-A1-Q	2	0.1992032
S1-A1-Q-Q	2	0.1992032
S1-A1-Q-G1	2	0.1992032
S1-A1-Q-B1	2	0.1992032
S1-A1-A2-Q	2	0.1992032
Q-G1-G1-B1	2	0.1992032
Q-B1-S1-S1	2	0.1992032
Q-A1-S1-A1	2	0.1992032
Q-A1-B1-A1	2	0.1992032
Q-A1-A2-A3	2	0.1992032
P-S1-Q-S1	2	0.1992032
P-S1-Q-A1	2	0.1992032
P-Q-S1-A1	2	0.1992032
P-Q-G1-A1	2	0.1992032
P-Q-B1-A1	2	0.1992032
P-A1-Q-A2	2	0.1992032
M1-G1-Q-A1	2	0.1992032
L1-Q-M1-A1	2	0.1992032
L1-Q-A1-G1	2	0.1992032
L1-Q-A1-A1	2	0.1992032
L1-M1-Q-M1	2	0.1992032
L1-G1-Q-G1	2	0.1992032
L1-B1-Q-A1	2	0.1992032
L1-A1-Q-A1	2	0.1992032
G1-Q-S1-B1	2	0.1992032
G1-Q-P-Q	2	0.1992032
G1-Q-P-B1	2	0.1992032
G1-Q-G2-G2	2	0.1992032
G1-Q-B1-A1	2	0.1992032
G1-P-Q-S1	2	0.1992032
G1-B1-Q-B1	2	0.1992032
G1-A1-S1-Q	2	0.1992032
G1-A1-A2-Q	2	0.1992032
B1-S1-Q-S1	2	0.1992032
B1-S1-G1-Q	2	0.1992032
B1-Q-S1-G1	2	0.1992032
B1-Q-G1-S1	2	0.1992032
B1-Q-G1-A1	2	0.1992032
B1-Q-A1-G1	2	0.1992032
B1-G1-Q-G1	2	0.1992032
B1-A1-Q-S1	2	0.1992032
S1-S2-Q-S2	1	0.0996016
S1-Q-Q-S2	1	0.0996016
S1-Q-P-S2	1	0.0996016
S1-Q-L1-L1	1	0.0996016
S1-Q-G1-S2	1	0.0996016
S1-Q-G1-G1	1	0.0996016
S1-Q-G1-A1	1	0.0996016
S1-Q-B1-B1	1	0.0996016
S1-Q-A1-P	1	0.0996016
S1-Q-A1-M1	1	0.0996016
S1-P-Q-S2	1	0.0996016
S1-G1-S2-Q	1	0.0996016
S1-G1-Q-P	1	0.0996016
S1-G1-P-Q	1	0.0996016
S1-G1-M1-Q	1	0.0996016
S1-G1-B1-Q	1	0.0996016
S1-B1-Q-A1	1	0.0996016
S1-B1-M1-Q	1	0.0996016
S1-A1-S2-Q	1	0.0996016
S1-A1-G1-Q	1	0.0996016
S1-A1-B1-Q	1	0.0996016
Q-S1-S2-B1	1	0.0996016
Q-S1-S1-S2	1	0.0996016
Q-S1-G1-S1	1	0.0996016
Q-S1-B1-B1	1	0.0996016
Q-S1-A1-S1	1	0.0996016
Q-Q-B1-A1	1	0.0996016
Q-Q-A1-A1	1	0.0996016
Q-G1-G1-A1	1	0.0996016
Q-B1-S1-S2	1	0.0996016
Q-B1-S1-B1	1	0.0996016
Q-B1-S1-A1	1	0.0996016
Q-B1-B2-B2	1	0.0996016
Q-B1-B1-B1	1	0.0996016
Q-A1-S1-S1	1	0.0996016
Q-A1-Q-M1	1	0.0996016
