Turns	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10
1	0	0	0	0	0	0	0	0	4420	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	84	4197	139	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	84	2319	1971	46	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	7	583	1724	1450	656	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	128	558	1588	1493	590	63	0	0	0	0	0	0	0	0
6	0	0	0	0	4	72	757	1347	1369	679	166	25	1	0	0	0	0	0	0
7	0	0	0	3	14	156	668	1242	1244	771	265	53	4	0	0	0	0	0	0
8	0	0	0	2	52	256	677	1109	1116	739	352	99	18	0	0	0	0	0	0
9	0	0	0	5	76	281	613	959	1092	763	425	163	33	10	0	0	0	0	0
10	0	0	4	11	96	283	584	911	1006	824	448	190	50	13	0	0	0	0	0
11	0	0	4	12	78	277	570	866	938	819	504	263	72	14	3	0	0	0	0
12	0	1	3	21	100	254	541	826	937	806	525	271	93	34	7	1	0	0	0
13	1	1	1	19	93	240	525	795	919	782	549	303	140	34	13	4	1	0	0
14	0	0	4	31	93	281	528	776	871	769	539	319	126	50	22	7	1	3	0
15	0	0	9	25	118	281	551	748	807	754	528	352	154	62	15	9	6	0	1
