Turns	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8
1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
2	0	0	0	0	0	2	17	1	0	0	0	0	0	0	0
3	0	0	0	0	1	16	3	0	0	0	0	0	0	0	0
4	0	0	0	0	2	14	4	0	0	0	0	0	0	0	0
5	0	0	0	1	4	9	6	0	0	0	0	0	0	0	0
6	0	0	1	0	4	7	8	0	0	0	0	0	0	0	0
7	0	0	1	0	4	9	6	0	0	0	0	0	0	0	0
8	0	0	1	1	3	9	5	1	0	0	0	0	0	0	0
9	0	0	0	3	1	10	4	2	0	0	0	0	0	0	0
10	0	0	0	0	8	5	5	1	0	1	0	0	0	0	0
11	0	0	1	0	1	12	3	1	2	0	0	0	0	0	0
12	0	0	0	1	3	4	6	5	1	0	0	0	0	0	0
13	0	0	0	2	3	4	6	3	1	1	0	0	0	0	0
14	0	0	0	3	3	5	6	0	3	0	0	0	0	0	0
15	0	0	0	3	3	5	2	5	2	0	0	0	0	0	0
16	0	0	1	3	3	3	4	3	2	1	0	0	0	0	0
17	0	0	0	3	4	3	4	4	1	1	0	0	0	0	0
18	0	0	1	2	4	3	3	4	1	2	0	0	0	0	0
19	0	1	2	1	3	3	2	2	1	3	1	1	0	0	0
20	0	1	3	2	0	4	1	2	4	1	1	0	1	0	0
21	1	1	1	5	0	3	0	4	2	1	0	1	0	1	0
22	1	0	3	2	3	2	1	2	4	0	1	0	0	1	0
23	0	1	4	1	0	3	3	4	2	1	0	0	0	0	1
24	0	2	3	0	1	2	4	2	0	2	2	1	1	0	0
25	0	0	1	1	3	2	4	3	3	1	0	1	0	1	0
