Opening	Count	%
G1-Q-A1-A1	3797	5.7621975
S1-Q-A1-A1	3605	5.4708247
S1-A1-Q-A1	1994	3.0260262
G1-Q-S1-S1	1781	2.7027848
G1-Q-A1-A2	1358	2.0608544
S1-Q-S2-S2	988	1.4993551
S1-S2-Q-A1	983	1.4917672
S1-Q-A1-A2	968	1.4690037
B1-Q-A1-A1	910	1.3809849
G1-A1-Q-A1	904	1.3718795
G1-Q-S1-A1	887	1.3460809
S1-G1-A1-Q	845	1.2823431
G1-B1-Q-B2	719	1.0911298
S1-S2-A1-Q	669	1.0152515
G1-A1-B1-Q	648	0.98338264
G1-B1-B2-Q	636	0.9651719
S1-A1-Q-B1	599	0.9090219
S1-G1-B1-Q	595	0.90295166
G1-G2-Q-B1	586	0.88929355
S1-S2-B1-Q	585	0.887776
G1-A1-Q-B1	583	0.8847409
S1-B1-B2-Q	567	0.8604598
S1-S2-Q-B1	562	0.852872
S1-A1-B1-Q	557	0.84528416
G1-S1-Q-B1	550	0.8346612
S1-S2-Q-S2	547	0.8301085
G1-G2-B1-Q	540	0.81948555
S1-B1-Q-B2	520	0.7891342
S1-G1-Q-B1	512	0.7769937
G1-S1-B1-Q	508	0.77092344
G1-Q-A1-S1	508	0.77092344
G1-Q-B1-B2	500	0.7587829
S1-A1-A2-Q	486	0.73753697
S1-S2-G1-Q	478	0.72539645
G1-Q-S1-B1	469	0.71173835
B1-B2-Q-S1	460	0.6980803
B1-B2-S1-Q	417	0.63282496
S1-Q-B1-B2	413	0.6267547
S1-A1-Q-A2	408	0.61916685
G1-G2-Q-A1	390	0.5918507
B1-Q-S1-S1	388	0.5888155
S1-Q-S2-B1	380	0.576675
L1-Q-A1-A1	373	0.5660521
G1-A1-Q-A2	370	0.56149936
S1-G1-Q-A1	367	0.55694664
S1-Q-S2-A1	342	0.5190075
B1-S1-B2-Q	342	0.5190075
B1-G1-Q-B2	339	0.51445484
B1-G1-B2-Q	334	0.506867
B1-A1-Q-B2	331	0.50231427
B1-S1-Q-S1	329	0.49927914
B1-A1-B2-Q	326	0.49472645
