Supply	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	33056	38447	4664	6184	3565	4141	171	343
1	18455	13693	3221	2400	2467	1922	119	108
2	17004	15983	3662	3595	3181	2996	158	193
3	13526	13534	3938	4187	3649	3683	211	193
4	7541	7216	3886	3430	3568	3488	215	222
5	1948	2430	2312	1868	2521	2434	250	162
6	422	580	603	571	1039	1157	211	152
7	85	117	88	127	207	327	126	80
8	8	32	18	19	37	71	33	42
9	0	12	1	10	6	16	6	7
10	0	1	0	2	0	3	3	1
11	0	0	0	0	0	2	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
