Board	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0
2	0	12	0	2	0	2	0	0
3	8	32	1	10	0	3	0	0
4	85	117	18	19	6	16	3	1
5	422	580	88	127	37	71	6	7
6	1948	2430	603	571	207	327	33	42
7	7541	7216	2312	1868	1039	1157	126	80
8	13526	13534	3886	3430	2521	2434	211	152
9	17004	15983	3938	4187	3568	3488	250	162
10	18455	13693	3662	3595	3649	3683	215	222
11	33056	38447	3221	2400	3181	2996	211	193
12	0	0	4664	6184	2467	1922	158	193
13	0	0	0	0	3565	4141	119	108
14	0	0	0	0	0	0	171	343
