White	WhiteWin	Draw	BlackWin	Black
G1-Q-A1-A1	27.777779	11.111111	61.11111	G1-Q-A1-A2
G1-A1-Q-A1	53.333332	6.6666665	40.0	G1-G2-Q-A1
G1-Q-A1-A1	46.153847	7.6923075	46.153847	G1-Q-S1-A1
G1-A1-Q-A1	53.846153	7.6923075	38.46154	G1-Q-A1-A2
G1-A1-Q-A1	41.666668	0.0	58.333332	G1-Q-S1-A1
L1-A1-Q-A1	72.72727	18.181818	9.090909	L1-M1-Q-A1
G1-Q-S1-S1	55.555557	0.0	44.444443	G1-Q-A1-A1
G1-Q-A1-A1	25.0	12.5	62.5	G1-Q-A1-S1
G1-A1-Q-A1	62.5	0.0	37.5	G1-Q-S1-S1
G1-A1-Q-A1	75.0	12.5	12.5	G1-G2-Q-G2
G1-Q-A1-A1	71.42857	0.0	28.571428	G1-Q-S1-S1
G1-A1-Q-A1	50.0	16.666666	33.333332	G1-Q-A1-S1
G1-A1-Q-A1	16.666666	66.666664	16.666666	B1-G1-Q-A1
S1-Q-S2-S2	0.0	0.0	100.0	G1-Q-A1-A1
Q-A1-A1-M1	0.0	100.0	0.0	Q-S1-A1-A1
S1-Q-S2-S2	0.0	0.0	100.0	G1-Q-A1-A2
S1-Q-A1-A1	50.0	0.0	50.0	G1-Q-A1-A2
L1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-A1
G1-Q-S1-S1	75.0	0.0	25.0	G1-Q-S1-S1
G1-Q-A1-A1	25.0	0.0	75.0	G1-Q-S1-S2
G1-Q-A1-A1	0.0	0.0	100.0	B1-Q-A1-A2
G1-A1-Q-A1	75.0	0.0	25.0	P-Q-S1-S1
S1-Q-A1-A1	33.333332	0.0	66.666664	S1-A1-Q-A1
S1-Q-A1-A1	0.0	0.0	100.0	G1-Q-P-A1
S1-G1-Q-A1	0.0	0.0	100.0	G1-Q-A1-A1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-S1-A1
S1-A1-Q-A1	33.333332	0.0	66.666664	G1-Q-A1-G2
Q-A1-A1-M1	33.333332	66.666664	0.0	Q-S1-S2-S2
G1-Q-S1-S1	33.333332	33.333332	33.333332	S1-Q-A1-A1
G1-Q-S1-S1	33.333332	0.0	66.666664	G1-Q-A1-G2
G1-Q-S1-S1	66.666664	0.0	33.333332	G1-Q-A1-A2
G1-Q-S1-A1	66.666664	33.333332	0.0	G1-Q-P-S1
G1-Q-A1-A2	66.666664	0.0	33.333332	G1-G2-Q-S1
G1-Q-A1-A1	33.333332	0.0	66.666664	S1-Q-A1-A2
G1-Q-A1-A1	33.333332	0.0	66.666664	P-Q-S1-S1
G1-Q-A1-A1	33.333332	33.333332	33.333332	L1-Q-A1-A2
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-M1
G1-Q-A1-A1	0.0	33.333332	66.666664	B1-Q-A1-S1
G1-A1-Q-S1	66.666664	0.0	33.333332	G1-Q-S1-S1
G1-A1-Q-A1	66.666664	0.0	33.333332	G1-A1-Q-A2
S1-S2-A1-Q	50.0	0.0	50.0	G1-Q-A1-A1
S1-Q-S2-S2	100.0	0.0	0.0	S1-Q-S2-S2
S1-Q-A1-A1	50.0	0.0	50.0	S1-Q-A1-A2
S1-Q-A1-A1	100.0	0.0	0.0	S1-A1-Q-A2
S1-Q-A1-A1	0.0	100.0	0.0	Q-A1-A1-B1
S1-Q-A1-A1	50.0	0.0	50.0	G1-S1-Q-A1
S1-Q-A1-A1	0.0	50.0	50.0	G1-Q-S1-S1
S1-Q-A1-A1	0.0	0.0	100.0	G1-Q-S1-A1
S1-Q-A1-A1	50.0	0.0	50.0	B1-Q-A1-A2
S1-B1-Q-A1	0.0	0.0	100.0	S1-Q-A1-A1
S1-A1-Q-A1	0.0	0.0	100.0	S1-S2-Q-A1
S1-A1-Q-A1	100.0	0.0	0.0	S1-Q-Q-S1
S1-A1-Q-A1	0.0	0.0	100.0	S1-A1-Q-A1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-S1-S1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-G2-A1
S1-A1-Q-A1	50.0	0.0	50.0	G1-Q-A1-A1
S1-A1-Q-A1	50.0	0.0	50.0	G1-A1-Q-G2
Q-A1-A1-S1	0.0	100.0	0.0	Q-S1-A1-A1
Q-A1-A1-B1	0.0	50.0	50.0	S1-Q-A1-A2
P-Q-S1-S1	50.0	0.0	50.0	G1-Q-A1-A1
P-Q-A1-A1	50.0	0.0	50.0	G1-Q-A1-A2
P-A1-Q-A1	50.0	0.0	50.0	G1-Q-A1-A2
P-A1-Q-A1	50.0	0.0	50.0	G1-A1-Q-A2
L1-A1-Q-M1	0.0	100.0	0.0	B1-M1-Q-A1
L1-A1-Q-A1	0.0	0.0	100.0	L1-Q-S1-A1
L1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-G1
L1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-A2
L1-A1-Q-A1	0.0	50.0	50.0	B1-M1-Q-A1
G1-Q-S1-S1	50.0	0.0	50.0	S1-Q-A1-B1
G1-Q-S1-S1	50.0	0.0	50.0	P-Q-A1-A1
G1-Q-S1-S1	50.0	0.0	50.0	G1-Q-S1-A1
G1-Q-S1-S1	100.0	0.0	0.0	G1-Q-G2-A1
G1-Q-S1-S1	50.0	0.0	50.0	G1-Q-A1-S1
G1-Q-S1-S1	0.0	50.0	50.0	G1-Q-A1-P
G1-Q-S1-S1	50.0	0.0	50.0	G1-A1-Q-A2
G1-Q-S1-A1	100.0	0.0	0.0	S1-Q-Q-Q
G1-Q-S1-A1	0.0	0.0	100.0	B1-Q-A1-A1
G1-Q-A1-S1	0.0	0.0	100.0	B1-Q-G1-S1
G1-Q-A1-A1	50.0	50.0	0.0	S1-S2-Q-A1
G1-Q-A1-A1	0.0	0.0	100.0	S1-Q-A1-S2
G1-Q-A1-A1	100.0	0.0	0.0	S1-Q-A1-G1
G1-Q-A1-A1	0.0	100.0	0.0	S1-Q-A1-A1
G1-Q-A1-A1	0.0	50.0	50.0	S1-A1-Q-A2
G1-Q-A1-A1	0.0	0.0	100.0	P-Q-A1-A2
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-P-A1
G1-Q-A1-A1	0.0	0.0	100.0	G1-Q-G2-A1
G1-A1-Q-S1	0.0	0.0	100.0	G1-S1-Q-S1
G1-A1-Q-A2	50.0	0.0	50.0	P-Q-S1-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-Q-S1-S1
G1-A1-Q-A2	50.0	0.0	50.0	G1-Q-P-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-G2-G3-Q
G1-A1-Q-A1	0.0	0.0	100.0	S1-Q-A1-A2
G1-A1-Q-A1	100.0	0.0	0.0	S1-A1-Q-S2
G1-A1-Q-A1	50.0	0.0	50.0	S1-A1-Q-A2
G1-A1-Q-A1	100.0	0.0	0.0	S1-A1-Q-A1
G1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-A1
G1-A1-Q-A1	50.0	50.0	0.0	L1-A1-Q-A2
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-G2-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-A1
G1-A1-Q-A1	50.0	0.0	50.0	G1-M1-Q-A1
G1-A1-Q-A1	100.0	0.0	0.0	G1-A1-Q-S1
G1-A1-Q-A1	100.0	0.0	0.0	G1-A1-Q-A1
G1-A1-Q-A1	0.0	50.0	50.0	B1-M1-Q-A1
G1-A1-Q-A1	0.0	50.0	50.0	B1-A1-Q-A2
B1-Q-S1-S1	0.0	0.0	100.0	S1-S2-B1-Q
B1-Q-A1-A1	100.0	0.0	0.0	S1-Q-A1-A2
B1-Q-A1-A1	50.0	0.0	50.0	G1-Q-G2-A1
S1-S2-Q-S2	100.0	0.0	0.0	S1-A1-S2-Q
S1-S2-Q-S2	0.0	0.0	100.0	Q-A1-A1-B1
S1-S2-Q-S2	0.0	0.0	100.0	G1-Q-S1-S1
S1-S2-Q-S2	100.0	0.0	0.0	G1-Q-A1-A1
S1-S2-Q-Q	0.0	0.0	100.0	Q-A1-A1-A1
S1-S2-Q-B1	0.0	0.0	100.0	G1-Q-A1-S1
S1-S2-Q-A1	0.0	0.0	100.0	S1-Q-A1-A1
S1-S2-Q-A1	0.0	0.0	100.0	Q-A1-S1-A1
S1-S2-G1-Q	100.0	0.0	0.0	S1-S2-B1-Q
S1-S2-A1-Q	0.0	0.0	100.0	G1-Q-S1-S1
S1-S2-A1-Q	0.0	0.0	100.0	G1-Q-A1-M1
S1-S2-A1-Q	100.0	0.0	0.0	B1-S1-Q-S1
S1-S2-A1-Q	100.0	0.0	0.0	B1-S1-Q-A1
S1-S2-A1-Q	100.0	0.0	0.0	B1-Q-A1-A1
S1-Q-S2-S2	100.0	0.0	0.0	S1-S2-Q-A1
S1-Q-S2-S2	100.0	0.0	0.0	S1-Q-A1-A2
S1-Q-S2-S2	100.0	0.0	0.0	Q-G1-G1-B1
S1-Q-S2-S2	100.0	0.0	0.0	G1-Q-S1-S1
S1-Q-S2-S2	0.0	0.0	100.0	G1-Q-A1-S1
S1-Q-S2-S2	0.0	100.0	0.0	G1-Q-A1-M1
S1-Q-S2-S2	100.0	0.0	0.0	G1-A1-Q-S1
S1-Q-S2-S2	100.0	0.0	0.0	B1-Q-S1-S1
S1-Q-S2-S2	100.0	0.0	0.0	B1-Q-Q-B1
S1-Q-S2-G1	0.0	0.0	100.0	S1-Q-S2-S2
S1-Q-S2-A1	0.0	0.0	100.0	S1-Q-S2-S2
S1-Q-S2-A1	100.0	0.0	0.0	S1-Q-Q-A1
S1-Q-S2-A1	100.0	0.0	0.0	S1-G1-A1-Q
S1-Q-S2-A1	100.0	0.0	0.0	G1-B1-S1-Q
S1-Q-Q-S1	0.0	100.0	0.0	Q-Q-B1-A1
S1-Q-P-Q	0.0	0.0	100.0	G1-G2-Q-A1
S1-Q-P-G1	100.0	0.0	0.0	S1-B1-Q-A1
S1-Q-P-A1	100.0	0.0	0.0	P-Q-A1-A1
S1-Q-M1-M1	100.0	0.0	0.0	L1-Q-Q-Q
S1-Q-G1-S2	0.0	0.0	100.0	S1-G1-Q-S2
S1-Q-G1-G1	0.0	0.0	100.0	S1-Q-A1-S2
S1-Q-G1-G1	100.0	0.0	0.0	Q-A1-A2-A2
S1-Q-G1-G1	0.0	0.0	100.0	G1-Q-A1-A1
S1-Q-G1-A1	100.0	0.0	0.0	S1-G1-Q-S2
S1-Q-B1-S2	100.0	0.0	0.0	G1-B1-Q-A1
S1-Q-A1-S2	100.0	0.0	0.0	S1-Q-A1-A2
S1-Q-A1-S2	0.0	0.0	100.0	Q-S1-S1-B1
S1-Q-A1-S2	100.0	0.0	0.0	Q-A1-A1-S1
S1-Q-A1-S2	0.0	0.0	100.0	G1-B1-Q-A1
S1-Q-A1-S2	100.0	0.0	0.0	B1-Q-A1-A1
S1-Q-A1-Q	0.0	0.0	100.0	G1-Q-G2-S1
S1-Q-A1-Q	0.0	0.0	100.0	G1-Q-B1-G2
S1-Q-A1-M1	100.0	0.0	0.0	G1-Q-A1-A1
S1-Q-A1-A2	0.0	0.0	100.0	S1-Q-S2-A1
S1-Q-A1-A2	100.0	0.0	0.0	S1-G1-Q-G1
S1-Q-A1-A2	100.0	0.0	0.0	S1-A1-Q-A1
S1-Q-A1-A2	100.0	0.0	0.0	S1-A1-B1-Q
S1-Q-A1-A2	100.0	0.0	0.0	Q-S1-S1-B1
S1-Q-A1-A2	0.0	0.0	100.0	Q-A1-A2-A2
S1-Q-A1-A2	0.0	0.0	100.0	L1-Q-M1-S1
S1-Q-A1-A2	100.0	0.0	0.0	G1-Q-S1-S1
S1-Q-A1-A2	0.0	0.0	100.0	G1-G2-Q-S1
S1-Q-A1-A2	0.0	0.0	100.0	G1-A1-S1-Q
S1-Q-A1-A2	0.0	0.0	100.0	B1-S1-A1-Q
S1-Q-A1-A1	100.0	0.0	0.0	S1-S2-Q-A1
S1-Q-A1-A1	100.0	0.0	0.0	S1-Q-S2-A1
S1-Q-A1-A1	0.0	0.0	100.0	S1-Q-G1-S2
S1-Q-A1-A1	100.0	0.0	0.0	S1-Q-G1-G1
S1-Q-A1-A1	100.0	0.0	0.0	S1-Q-A1-A1
S1-Q-A1-A1	100.0	0.0	0.0	S1-G1-Q-G2
S1-Q-A1-A1	100.0	0.0	0.0	S1-A1-Q-Q
S1-Q-A1-A1	100.0	0.0	0.0	S1-A1-Q-B1
S1-Q-A1-A1	100.0	0.0	0.0	Q-S1-G1-S1
S1-Q-A1-A1	0.0	0.0	100.0	P-Q-S1-S1
S1-Q-A1-A1	100.0	0.0	0.0	G1-Q-S1-M1
S1-Q-A1-A1	100.0	0.0	0.0	G1-Q-S1-G2
S1-Q-A1-A1	0.0	0.0	100.0	G1-Q-A1-S1
S1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-B1
S1-Q-A1-A1	0.0	0.0	100.0	G1-B1-Q-A1
S1-Q-A1-A1	0.0	0.0	100.0	G1-A1-Q-S1
S1-Q-A1-A1	100.0	0.0	0.0	G1-A1-Q-G2
S1-Q-A1-A1	100.0	0.0	0.0	B1-Q-Q-B1
S1-Q-A1-A1	0.0	0.0	100.0	B1-Q-G1-G1
S1-Q-A1-A1	100.0	0.0	0.0	B1-G1-Q-G1
S1-P-Q-A1	0.0	0.0	100.0	G1-G2-Q-A1
S1-P-A1-Q	0.0	0.0	100.0	L1-M1-Q-A1
S1-G1-S2-Q	0.0	0.0	100.0	P-Q-A1-S1
S1-G1-Q-S2	100.0	0.0	0.0	B1-Q-S1-S1
S1-G1-Q-P	0.0	0.0	100.0	G1-Q-P-A1
S1-G1-Q-G1	0.0	0.0	100.0	S1-Q-A1-A1
S1-G1-Q-B1	100.0	0.0	0.0	Q-A1-A2-A2
S1-G1-Q-A1	0.0	0.0	100.0	S1-S2-Q-A1
S1-G1-Q-A1	0.0	0.0	100.0	S1-A1-Q-A1
S1-G1-Q-A1	0.0	0.0	100.0	L1-M1-Q-A1
S1-G1-Q-A1	0.0	0.0	100.0	G1-G2-Q-A1
S1-G1-G2-Q	0.0	0.0	100.0	B1-S1-A1-Q
S1-G1-A1-Q	0.0	0.0	100.0	S1-Q-A1-A1
S1-G1-A1-Q	0.0	0.0	100.0	G1-A1-A2-Q
S1-G1-A1-Q	100.0	0.0	0.0	B1-S1-G1-Q
S1-G1-A1-Q	0.0	0.0	100.0	B1-G1-A1-Q
S1-B1-Q-P	100.0	0.0	0.0	G1-Q-S1-S1
S1-B1-Q-P	100.0	0.0	0.0	B1-Q-A1-A1
S1-B1-Q-M1	0.0	0.0	100.0	G1-A1-Q-A1
S1-B1-Q-G1	0.0	0.0	100.0	S1-A1-Q-A2
S1-B1-Q-B1	0.0	0.0	100.0	P-Q-B1-A1
S1-B1-Q-B1	0.0	0.0	100.0	B1-Q-A1-A1
S1-B1-Q-B1	100.0	0.0	0.0	B1-G1-Q-S1
S1-B1-Q-A1	0.0	0.0	100.0	P-Q-A1-A1
S1-B1-Q-A1	100.0	0.0	0.0	B1-Q-Q-Q
S1-B1-P-Q	0.0	100.0	0.0	L1-A1-Q-A1
S1-B1-G1-Q	0.0	0.0	100.0	S1-Q-A1-A1
S1-B1-G1-Q	100.0	0.0	0.0	P-Q-A1-A1
S1-B1-A1-Q	0.0	0.0	100.0	B1-Q-A1-A1
S1-A1-Q-S2	0.0	100.0	0.0	Q-G1-G1-A1
S1-A1-Q-S2	100.0	0.0	0.0	G1-G2-Q-A1
S1-A1-Q-Q	100.0	0.0	0.0	G1-Q-S1-A1
S1-A1-Q-G1	0.0	0.0	100.0	S1-A1-Q-Q
S1-A1-Q-G1	0.0	0.0	100.0	G1-Q-A1-A1
S1-A1-Q-A2	100.0	0.0	0.0	S1-S2-Q-A1
S1-A1-Q-A2	100.0	0.0	0.0	S1-B1-A1-Q
S1-A1-Q-A2	0.0	0.0	100.0	Q-A1-G1-G1
S1-A1-Q-A2	0.0	0.0	100.0	Q-A1-A1-S1
S1-A1-Q-A2	0.0	0.0	100.0	G1-Q-S1-A1
S1-A1-Q-A2	100.0	0.0	0.0	G1-Q-P-S1
S1-A1-Q-A2	0.0	0.0	100.0	G1-Q-A1-A1
