Opening	Count	%
S1-Q-A1-A1	4840	3.9935312
G1-Q-A1-A1	3667	3.0256774
S1-A1-Q-A1	2748	2.2674015
G1-B1-Q-B2	1653	1.3639064
G1-B1-B2-Q	1596	1.3168751
S1-B1-B2-Q	1581	1.3044986
G1-A1-B1-Q	1500	1.2376646
S1-G1-B1-Q	1485	1.2252879
S1-A1-B1-Q	1479	1.2203373
S1-S2-B1-Q	1466	1.2096108
S1-A1-Q-B1	1462	1.2063104
S1-G1-A1-Q	1419	1.1708307
G1-A1-Q-B1	1417	1.1691805
G1-G2-B1-Q	1402	1.1568038
G1-S1-Q-B1	1397	1.1526783
G1-Q-S1-S1	1364	1.1254497
S1-S2-Q-A1	1361	1.1229744
S1-S2-Q-B1	1354	1.1171986
G1-S1-B1-Q	1352	1.1155484
S1-Q-S2-S2	1330	1.0973959
S1-B1-Q-B2	1319	1.0883198
S1-G1-Q-B1	1290	1.0643916
G1-G2-Q-B1	1263	1.0421135
S1-Q-A1-A2	1187	0.9794053
S1-S2-A1-Q	1168	0.9637282
G1-Q-A1-A2	1124	0.92742336
S1-S2-G1-Q	1100	0.9076207
B1-Q-A1-A1	1085	0.89524406
G1-A1-Q-A1	1076	0.8878181
G1-Q-B1-B2	1070	0.8828674
S1-Q-B1-B2	1027	0.84738773
B1-B2-S1-Q	997	0.8226344
B1-B2-Q-S1	960	0.7921054
S1-Q-S2-B1	956	0.7888049
G1-Q-S1-B1	923	0.7615763
S1-S2-Q-S2	892	0.7359979
S1-A1-A2-Q	877	0.72362125
S1-B1-S2-Q	857	0.70711905
S1-A1-S2-Q	838	0.69144195
B1-S1-B2-Q	829	0.684016
S1-G1-S2-Q	800	0.66008776
B1-G1-B2-Q	734	0.6056306
B1-A1-B2-Q	725	0.59820455
S1-B1-G1-Q	706	0.58252746
B1-S1-Q-B2	706	0.58252746
B1-A1-Q-B2	691	0.57015085
G1-S1-S2-Q	684	0.56437504
G1-A1-A2-Q	682	0.5627248
S1-A1-G1-Q	663	0.54704773
B1-G1-Q-B2	661	0.5453975
G1-B1-A1-Q	653	0.53879666
S1-B1-A1-Q	644	0.5313707
A1-G1-B1-Q	643	0.5305456
A1-B1-B2-Q	620	0.511568
G1-B1-S1-Q	614	0.50661737
G1-B1-G2-Q	611	0.50414205
G1-Q-G2-B1	606	0.5000165
G1-S1-A1-Q	604	0.4983663
B1-B2-G1-Q	598	0.49341562
A1-A2-B1-Q	585	0.4826892
B1-Q-B2-S1	577	0.47608832
B1-S1-G1-Q	571	0.47113767
A1-A2-Q-B1	558	0.46041122
G1-S1-G2-Q	547	0.451335
A1-S1-B1-Q	546	0.4505099
S1-G1-Q-A1	545	0.4496848
G1-A1-G2-Q	545	0.4496848
B1-S1-Q-S1	542	0.44720948
B1-A1-G1-Q	523	0.43153238
S1-A1-Q-A2	516	0.42575663
B1-S1-S2-Q	516	0.42575663
S1-G1-G2-Q	514	0.42410642
G1-A1-S1-Q	514	0.42410642
S1-Q-G1-B1	513	0.42328128
B1-Q-S1-B2	507	0.41833064
G1-G2-A1-Q	500	0.41255486
A1-G1-Q-B1	489	0.40347865
A1-B1-Q-B2	487	0.40182844
S1-B1-Q-A1	485	0.40017822
A1-S1-Q-B1	468	0.38615134
B1-S1-A1-Q	454	0.3745998
S1-Q-S2-A1	446	0.36799896
S1-G1-Q-G1	444	0.3663487
B1-Q-S1-S1	444	0.3663487
G1-G2-G3-Q	434	0.3580976
G1-S1-Q-S1	428	0.35314697
B1-A1-Q-A1	426	0.35149676
G1-Q-A1-S1	414	0.34159544
G1-G2-S1-Q	403	0.33251923
G1-Q-S1-A1	386	0.31849235
G1-A1-Q-A2	382	0.31519192
B1-G1-G2-Q	381	0.31436682
B1-A1-S1-Q	381	0.31436682
B1-G1-S1-Q	372	0.30694082
G1-S1-Q-A1	371	0.30611572
B1-Q-G1-B2	368	0.3036404
B1-S1-Q-A1	362	0.29868972
B1-G1-A1-Q	359	0.2962144
A1-Q-B1-B2	359	0.2962144
S1-Q-A1-B1	353	0.29126373
G1-M1-Q-B1	350	0.2887884
A1-G1-A2-Q	346	0.28548798
A1-Q-S1-B1	337	0.278062
A1-B1-A2-Q	335	0.27641177
S1-Q-G1-G1	325	0.26816067
Q-A1-A2-A2	322	0.26568535
B1-A1-A2-Q	320	0.2640351
G1-M1-B1-Q	316	0.26073468
L1-Q-A1-A1	314	0.25908446
A1-A2-A3-Q	312	0.25743425
A1-G1-S1-Q	310	0.255784
A1-B1-S1-Q	290	0.23928182
G1-A1-Q-S1	279	0.23020561
S1-S2-Q-G1	269	0.22195452
Q-A1-A2-A1	267	0.2203043
S1-M1-Q-B1	266	0.21947919
S1-M1-B1-Q	264	0.21782897
G1-G2-Q-A1	264	0.21782897
G1-B1-Q-A1	263	0.21700387
S1-Q-A1-S2	262	0.21617875
A1-Q-G1-B1	262	0.21617875
M1-A1-Q-B1	258	0.21287832
B1-B2-A1-Q	256	0.21122809
M1-B1-B2-Q	251	0.20710255
G1-Q-A1-B1	242	0.19967656
A1-S1-S2-Q	238	0.19637612
Q-A1-A1-A2	237	0.19555101
M1-A1-B1-Q	237	0.19555101
L1-A1-Q-B1	236	0.1947259
M1-G1-Q-B1	228	0.18812501
M1-B1-Q-B2	228	0.18812501
L1-S1-Q-B1	226	0.1864748
A1-A2-S1-Q	226	0.1864748
Q-A1-A1-B1	224	0.18482459
M1-G1-B1-Q	224	0.18482459
B1-Q-A1-B2	219	0.18069904
A1-S1-A2-Q	212	0.17492327
S1-B1-Q-B1	211	0.17409815
M1-S1-Q-B1	209	0.17244793
L1-G1-Q-B1	208	0.17162283
A1-A2-G1-Q	204	0.16832238
L1-B1-B2-Q	203	0.16749728
G1-L1-Q-B1	203	0.16749728
G1-Q-S1-S2	201	0.16584706
S1-A1-Q-G1	200	0.16502194
L1-B1-Q-B2	199	0.16419683
L1-M1-Q-B1	198	0.16337173
B1-G1-Q-A1	198	0.16337173
M1-S1-B1-Q	196	0.16172151
L1-A1-B1-Q	185	0.1526453
S1-B1-Q-S2	184	0.1518202
B1-Q-A1-A2	182	0.15016997
L1-G1-B1-Q	180	0.14851975
A1-S1-G1-Q	180	0.14851975
S1-Q-B1-B1	175	0.1443942
A1-B1-G1-Q	172	0.14191887
S1-Q-A1-G1	171	0.14109376
S1-B1-Q-G1	171	0.14109376
L1-M1-B1-Q	170	0.14026865
G1-B1-Q-S1	166	0.13696821
Q-S1-S2-S2	165	0.1361431
Q-S1-S1-S2	162	0.13366778
L1-S1-B1-Q	153	0.12624179
B1-G1-Q-G1	151	0.124591574
M1-Q-S1-B1	150	0.12376646
S1-M1-S2-Q	149	0.12294135
M1-Q-B1-B2	147	0.12129113
G1-Q-A1-M1	142	0.11716558
S1-S2-M1-Q	140	0.115515366
G1-L1-B1-Q	140	0.115515366
B1-Q-G1-G1	138	0.113865145
M1-S1-S2-Q	135	0.111389816
A1-M1-B1-Q	132	0.10891449
S1-Q-B1-A1	130	0.107264265
G1-Q-G2-G2	130	0.107264265
S1-Q-G1-A1	127	0.10478894
G1-Q-A1-G2	127	0.10478894
G1-M1-S1-Q	122	0.10066339
M1-A1-S1-Q	121	0.09983828
G1-B1-M1-Q	121	0.09983828
B1-S1-Q-S2	121	0.09983828
G1-G2-M1-Q	119	0.09818806
L1-M1-Q-A1	116	0.09571273
A1-Q-A2-A2	116	0.09571273
Q-S1-S2-S1	115	0.09488762
B1-Q-S1-A1	114	0.09406251
L1-M1-S1-Q	111	0.09158718
G1-G2-Q-G2	111	0.09158718
B1-Q-Q-B1	109	0.089936964
A1-G1-G2-Q	109	0.089936964
G1-M1-A1-Q	107	0.08828674
L1-S1-S2-Q	105	0.08663652
G1-M1-G2-Q	105	0.08663652
L1-S1-G1-Q	104	0.085811414
S1-A1-Q-S2	102	0.08416119
M1-G1-S1-Q	102	0.08416119
M1-B1-S1-Q	102	0.08416119
Q-S1-A1-A1	101	0.083336085
G1-S1-M1-Q	101	0.083336085
S1-Q-Q-S1	100	0.08251097
Q-S1-S1-A1	99	0.08168586
M1-S1-G1-Q	99	0.08168586
L1-A1-S1-Q	99	0.08168586
G1-Q-G2-A1	99	0.08168586
Q-A1-A2-A3	98	0.08086076
B1-G1-Q-S1	98	0.08086076
Q-S1-S2-A1	97	0.08003564
B1-S1-Q-G1	97	0.08003564
A1-M1-Q-B1	97	0.08003564
L1-Q-B1-B2	96	0.079210535
L1-M1-G1-Q	96	0.079210535
S1-L1-Q-B1	95	0.07838543
G1-S1-Q-S2	95	0.07838543
S1-Q-Q-B1	94	0.07756031
L1-B1-S1-Q	94	0.07756031
L1-B1-G1-Q	94	0.07756031
B1-A1-Q-A2	93	0.076735206
G1-G2-Q-S1	92	0.0759101
S1-L1-B1-Q	91	0.075084984
L1-G1-S1-Q	91	0.075084984
B1-Q-S1-S2	90	0.07425988
M1-Q-A1-A1	89	0.07343477
M1-A1-G1-Q	89	0.07343477
B1-B2-Q-A1	89	0.07343477
S1-B1-M1-Q	88	0.072609656
S1-M1-A1-Q	87	0.07178455
S1-A1-M1-Q	87	0.07178455
M1-L1-Q-B1	87	0.07178455
M1-B1-A1-Q	86	0.070959434
S1-Q-A1-M1	85	0.07013433
L1-Q-S1-B1	83	0.068484105
S1-G1-Q-S2	82	0.067659
M1-B1-G1-Q	82	0.067659
G1-Q-B1-S1	82	0.067659
G1-L1-M1-Q	82	0.067659
B1-Q-A1-S1	82	0.067659
Q-S1-A1-S1	81	0.06683389
M1-Q-G1-B1	80	0.06600878
A1-G1-Q-A2	80	0.06600878
M1-G1-G2-Q	79	0.06518367
A1-G1-Q-G1	79	0.06518367
Q-A1-A1-S1	78	0.06435856
L1-A1-M1-Q	78	0.06435856
G1-A1-M1-Q	78	0.06435856
