Turns	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10
1	0	0	0	0	0	0	0	0	3564	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	71	3361	132	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	63	1685	1772	44	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	5	493	1227	1236	603	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	124	482	1275	1136	505	42	0	0	0	0	0	0	0	0
6	0	0	0	0	4	65	677	1067	1062	538	127	23	1	0	0	0	0	0	0
7	0	0	0	3	13	145	573	1038	950	583	208	47	4	0	0	0	0	0	0
8	0	0	0	2	47	232	585	918	866	546	274	77	17	0	0	0	0	0	0
9	0	0	0	5	74	250	532	776	847	586	321	131	32	10	0	0	0	0	0
10	0	0	4	11	94	250	499	731	808	615	356	142	41	13	0	0	0	0	0
11	0	0	4	12	75	252	490	681	739	638	379	219	59	13	3	0	0	0	0
12	0	1	3	18	91	223	451	674	722	635	420	213	75	30	7	1	0	0	0
13	1	1	1	19	84	205	431	667	711	602	454	241	101	30	11	4	1	0	0
14	0	0	4	28	84	244	442	621	691	595	425	257	103	40	19	7	1	3	0
15	0	0	9	23	110	250	478	617	632	575	402	272	124	47	12	9	3	0	1
