Turns	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11
1	0	0	0	0	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	41	1773	42	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	34	917	883	22	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	4	307	671	586	288	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	68	318	642	592	222	14	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	2	55	278	543	576	305	91	6	0	0	0	0	0	0	0	0
7	0	0	0	0	0	5	69	252	458	563	358	123	28	0	0	0	0	0	0	0	0
8	0	0	0	0	1	15	83	258	435	519	347	154	38	5	1	0	0	0	0	0	0
9	0	0	0	0	7	27	86	239	399	444	382	192	61	16	2	1	0	0	0	0	0
10	0	0	0	1	9	34	121	225	382	401	350	216	89	24	3	1	0	0	0	0	0
11	0	0	0	2	15	41	115	206	356	416	334	230	105	26	10	0	0	0	0	0	0
12	0	0	0	3	11	43	130	200	317	351	369	260	105	54	8	4	1	0	0	0	0
13	0	0	2	7	15	52	129	194	292	372	316	255	147	55	16	3	1	0	0	0	0
14	0	0	2	10	17	58	126	209	258	347	283	261	165	76	36	7	1	0	0	0	0
15	0	1	2	11	21	54	122	184	248	307	293	278	171	104	43	13	2	2	0	0	0
16	0	0	2	12	24	68	113	165	254	261	287	273	180	131	61	15	9	1	0	0	0
17	0	0	3	11	38	70	113	159	171	276	246	282	219	132	87	33	12	3	1	0	0
18	0	1	4	16	28	63	111	155	188	242	230	247	236	165	98	46	21	4	1	0	0
19	0	0	2	17	24	73	111	144	160	207	243	260	243	180	105	49	31	6	1	0	0
20	2	0	4	10	34	64	103	147	165	183	210	243	235	194	134	75	39	11	3	0	0
21	1	0	4	13	45	65	90	137	147	174	198	233	220	193	162	101	51	19	3	0	0
22	0	0	6	21	42	68	90	100	151	186	191	190	212	195	191	110	73	22	6	1	1
23	0	4	8	12	40	60	94	109	151	153	189	170	232	173	186	146	81	35	11	2	0
24	0	1	5	22	46	53	75	121	139	164	165	179	190	203	168	148	103	58	12	3	1
25	0	0	5	8	29	61	79	121	134	172	172	200	229	194	164	116	78	65	18	9	2
