Opening	Count	%
S1-Q-A1-A1	3241	5.829556
G1-Q-A1-A1	2825	5.0813007
S1-A1-Q-A1	1776	3.1944745
G1-Q-S1-S1	1063	1.912008
G1-Q-A1-A2	925	1.6637888
S1-S2-Q-A1	909	1.6350098
S1-Q-A1-A2	879	1.581049
S1-Q-S2-S2	847	1.5234909
S1-G1-A1-Q	800	1.4389524
G1-A1-Q-A1	751	1.3508166
G1-B1-Q-B2	719	1.2932585
B1-Q-A1-A1	697	1.2536873
G1-A1-B1-Q	632	1.1367724
G1-B1-B2-Q	631	1.1349738
S1-S2-A1-Q	614	1.104396
S1-A1-Q-B1	582	1.0468379
G1-G2-Q-B1	579	1.0414418
G1-A1-Q-B1	575	1.034247
S1-B1-B2-Q	562	1.0108641
S1-G1-B1-Q	559	1.005468
S1-S2-Q-B1	555	0.99827325
S1-S2-B1-Q	547	0.98388374
S1-A1-B1-Q	536	0.96409816
G1-S1-Q-B1	536	0.96409816
G1-G2-B1-Q	535	0.96229947
S1-B1-Q-B2	517	0.929923
S1-G1-Q-B1	505	0.9083387
G1-Q-B1-B2	496	0.8921505
G1-S1-B1-Q	486	0.8741636
S1-S2-Q-S2	476	0.8561767
B1-B2-Q-S1	459	0.82559896
S1-S2-G1-Q	444	0.7986186
S1-A1-A2-Q	441	0.79322255
G1-Q-S1-B1	437	0.7860278
B1-B2-S1-Q	412	0.7410605
S1-Q-B1-B2	410	0.7374631
S1-Q-S2-B1	374	0.67271024
S1-A1-Q-A2	347	0.6241456
G1-Q-A1-S1	339	0.6097561
B1-S1-B2-Q	336	0.60436004
B1-G1-Q-B2	332	0.5971653
B1-G1-B2-Q	330	0.5935679
B1-A1-B2-Q	325	0.5845744
B1-A1-Q-B2	324	0.5827757
S1-G1-Q-A1	312	0.56119144
G1-Q-S1-A1	305	0.5486006
S1-A1-S2-Q	294	0.52881503
B1-Q-B2-S1	293	0.52701634
S1-B1-G1-Q	291	0.52341896
B1-S1-Q-S1	291	0.52341896
B1-S1-Q-B2	291	0.52341896
G1-A1-Q-A2	283	0.50902945
S1-Q-S2-A1	279	0.5018347
S1-B1-S2-Q	271	0.48744515
G1-A1-A2-Q	270	0.48564646
G1-S1-S2-Q	269	0.48384777
G1-Q-G2-B1	269	0.48384777
B1-B2-G1-Q	268	0.48204908
B1-Q-S1-B2	264	0.47485432
L1-Q-A1-A1	263	0.4730556
S1-G1-S2-Q	254	0.4568674
S1-A1-G1-Q	251	0.45147133
B1-Q-S1-S1	247	0.44427657
S1-B1-A1-Q	246	0.44247788
G1-B1-G2-Q	245	0.4406792
B1-S1-G1-Q	245	0.4406792
G1-S1-G2-Q	241	0.43348444
G1-S1-Q-S1	240	0.43168575
S1-G1-Q-G1	236	0.42449096
G1-A1-Q-S1	234	0.42089358
B1-A1-Q-A1	233	0.4190949
S1-Q-G1-B1	225	0.40470538
G1-B1-S1-Q	223	0.401108
Q-A1-A2-A2	222	0.3993093
G1-S1-A1-Q	218	0.39211455
S1-B1-Q-A1	217	0.39031586
G1-S1-Q-A1	217	0.39031586
A1-A2-B1-Q	210	0.377725
G1-A1-G2-Q	208	0.37412763
B1-Q-G1-B2	205	0.36873156
B1-A1-G1-Q	204	0.36693287
Q-A1-A2-A1	203	0.36513418
S1-G1-G2-Q	197	0.35434204
B1-S1-S2-Q	197	0.35434204
S1-Q-A1-S2	195	0.35074466
G1-A1-S1-Q	193	0.3471473
A1-A2-Q-B1	193	0.3471473
G1-G2-Q-A1	184	0.33095905
G1-B1-A1-Q	181	0.32556298
B1-S1-Q-A1	176	0.31656954
G1-G2-G3-Q	174	0.31297216
A1-G1-B1-Q	174	0.31297216
A1-B1-B2-Q	171	0.3075761
B1-G1-G2-Q	166	0.29858264
