Supply	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	29756	34442	4036	5354	3294	3795	130	291
1	15953	12037	2680	2114	2213	1775	73	84
2	14456	13764	3082	3181	2770	2777	100	146
3	11148	11022	3275	3606	3154	3288	141	153
4	5906	5414	3237	2726	3045	3014	133	133
5	1344	1635	1864	1269	2028	1766	167	75
6	255	420	426	308	643	608	127	45
7	35	82	47	70	68	162	67	9
8	0	26	3	13	10	31	8	10
9	0	10	0	9	0	8	0	0
10	0	1	0	0	0	1	0	0
11	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
