Board	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0
2	0	10	0	0	0	0	0	0
3	0	26	0	9	0	1	0	0
4	35	82	3	13	0	8	0	0
5	255	420	47	70	10	31	0	0
6	1344	1635	426	308	68	162	8	10
7	5906	5414	1864	1269	643	608	67	9
8	11148	11022	3237	2726	2028	1766	127	45
9	14456	13764	3275	3606	3045	3014	167	75
10	15953	12037	3082	3181	3154	3288	133	133
11	29756	34442	2680	2114	2770	2777	141	153
12	0	0	4036	5354	2213	1775	100	146
13	0	0	0	0	3294	3795	73	84
14	0	0	0	0	0	0	130	291
