White	WhiteWin	Draw	BlackWin	Black
S1-Q-A1-A1	63.333332	2.0	34.666668	G1-B1-Q-B2
S1-Q-A1-A2	86.30137	0.0	13.69863	G1-B1-B2-Q
S1-Q-A1-A2	89.393936	0.75757575	9.848485	S1-B1-B2-Q
S1-Q-A1-A1	68.141594	4.424779	27.433628	G1-S1-Q-B1
S1-Q-A1-A1	69.09091	2.7272727	28.181818	G1-G2-Q-B1
S1-Q-A1-A1	64.15094	4.716981	31.132076	G1-A1-Q-B1
S1-Q-A1-A1	70.408165	0.0	29.591837	S1-A1-Q-B1
S1-Q-A1-A1	75.25773	2.0618556	22.680412	S1-B1-Q-B2
B1-A1-B2-Q	23.71134	1.0309278	75.25773	S1-Q-A1-A1
S1-Q-A1-A2	83.333336	0.0	16.666666	S1-G1-B1-Q
S1-Q-A1-A2	89.47369	0.0	10.526316	S1-S2-B1-Q
S1-A1-B1-Q	33.695652	0.0	66.304344	S1-Q-A1-A1
G1-A1-B1-Q	31.52174	1.0869565	67.391304	S1-Q-A1-A1
S1-Q-A1-A2	82.22222	1.1111112	16.666666	S1-B1-S2-Q
S1-Q-A1-A1	67.77778	0.0	32.22222	S1-G1-Q-B1
S1-Q-A1-A2	85.22727	2.2727273	12.5	G1-G2-B1-Q
B1-A1-A2-Q	31.818182	0.0	68.181816	S1-Q-A1-A1
A1-A2-A3-Q	19.767443	1.1627907	79.06977	S1-Q-A1-A1
S1-Q-A1-A2	76.47059	1.1764706	22.352942	G1-A1-B1-Q
S1-Q-A1-A2	88.888885	0.0	11.111111	S1-G1-S2-Q
S1-Q-A1-A2	93.82716	0.0	6.1728396	S1-A1-B1-Q
S1-Q-A1-A2	87.341774	0.0	12.658228	G1-S1-B1-Q
G1-A1-A2-Q	27.8481	2.5316455	69.620255	S1-Q-A1-A1
A1-A2-B1-Q	31.645569	5.063291	63.291138	S1-Q-A1-A1
S1-S2-B1-Q	20.512821	0.0	79.48718	S1-Q-A1-A1
