turn	all	all-d	d-hive	d-hive-l	d-hive-lm	d-hive-m	d-hive-p	d-hive-pl	d-hive-plm	d-hive-pm
5	1	1	1	0	0	0	0	0	0	0
6	94	94	83	0	3	8	0	0	0	0
7	202	202	162	2	12	23	1	0	1	1
8	196	196	172	3	8	11	2	0	0	0
9	233	233	190	0	17	23	2	0	1	0
10	470	470	351	11	31	69	3	0	4	1
11	959	959	739	5	58	153	1	0	2	1
12	2689	2689	1911	28	171	531	22	0	22	4
13	4387	4387	3009	82	481	761	25	1	24	4
14	6278	6278	4248	114	771	1074	34	1	31	5
15	7943	7943	5322	157	1103	1268	43	0	45	5
16	9222	9222	6051	167	1453	1430	57	0	60	4
17	9107	9107	6020	156	1512	1287	52	6	68	6
18	8604	8604	5697	166	1441	1172	60	3	56	9
19	7997	7997	5355	149	1331	1053	44	2	55	8
20	6989	6989	4613	112	1197	944	56	1	58	8
21	6351	6351	4256	86	1056	841	58	0	46	8
22	5519	5519	3760	92	951	635	42	2	31	6
23	5008	5008	3507	73	783	575	32	1	33	4
24	4383	4383	3066	59	657	523	33	0	40	5
25	3879	3879	2700	69	575	462	35	0	31	7
26	3397	3397	2386	46	488	405	44	1	26	1
27	2916	2916	2055	51	395	331	46	0	35	3
28	2716	2716	1917	49	379	305	33	1	28	4
29	2346	2346	1634	43	331	273	34	0	27	4
30	2029	2029	1433	35	258	240	33	1	22	7
31	1773	1773	1272	29	247	179	19	0	24	3
32	1621	1621	1157	19	203	196	19	1	21	5
33	1272	1272	898	23	189	131	12	1	14	4
34	1117	1117	806	23	129	118	22	0	15	4
35	957	957	672	17	137	114	9	0	8	0
36	837	837	586	10	135	81	13	1	11	0
37	685	685	466	9	99	83	15	0	11	2
38	601	601	424	7	75	68	15	0	10	2
39	565	565	405	11	77	56	9	0	7	0
40	465	465	307	12	65	61	6	0	13	1
41	405	405	278	8	46	57	7	0	7	2
42	334	334	246	3	43	33	4	0	5	0
43	320	320	228	5	33	38	6	1	7	2
44	268	268	196	5	28	31	3	0	5	0
45	257	257	185	3	25	32	4	0	7	1
46	209	209	132	2	39	26	3	0	6	1
47	200	200	141	3	27	22	4	0	2	1
48	164	164	116	2	18	24	4	0	0	0
49	132	132	78	2	20	19	7	0	4	2
50	144	144	90	1	26	23	1	0	2	1
51	85	85	57	1	13	9	5	0	0	0
52	110	110	82	0	8	9	4	0	6	1
53	83	83	48	2	15	9	4	0	3	2
54	95	95	70	0	11	7	4	0	3	0
55	73	73	56	0	4	9	0	1	3	0
56	84	84	54	1	10	15	3	0	1	0
57	57	57	38	1	9	9	0	0	0	0
58	52	52	35	1	5	9	1	0	1	0
59	57	57	38	0	11	2	3	0	3	0
60	51	51	40	0	5	4	0	0	2	0
61	42	42	30	1	6	5	0	0	0	0
62	28	28	20	0	4	4	0	0	0	0
63	26	26	19	0	2	3	0	0	1	1
64	32	32	23	0	4	3	0	0	2	0
65	21	21	18	0	1	2	0	0	0	0
66	19	19	17	0	1	1	0	0	0	0
67	26	26	19	1	4	2	0	0	0	0
68	25	25	19	1	1	3	0	0	1	0
69	23	23	19	1	0	1	1	0	1	0
70	21	21	15	1	2	1	1	0	1	0
71	14	14	9	0	1	3	0	0	0	1
72	12	12	7	0	1	4	0	0	0	0
73	12	12	7	0	3	0	2	0	0	0
74	12	12	11	0	0	1	0	0	0	0
75	10	10	9	0	0	1	0	0	0	0
76	14	14	10	1	3	0	0	0	0	0
77	13	13	10	0	1	1	1	0	0	0
78	5	5	3	0	1	1	0	0	0	0
79	9	9	6	0	1	0	1	0	1	0
80	6	6	6	0	0	0	0	0	0	0
81	8	8	7	0	1	0	0	0	0	0
82	5	5	3	1	1	0	0	0	0	0
83	6	6	4	0	0	2	0	0	0	0
84	1	1	0	0	0	1	0	0	0	0
85	2	2	2	0	0	0	0	0	0	0
86	5	5	3	0	0	2	0	0	0	0
87	6	6	4	1	0	0	0	0	1	0
88	4	4	2	0	0	1	1	0	0	0
89	3	3	1	0	0	1	1	0	0	0
90	3	3	3	0	0	0	0	0	0	0
91	5	5	5	0	0	0	0	0	0	0
92	0	0	0	0	0	0	0	0	0	0
93	5	5	4	0	0	0	1	0	0	0
94	2	2	0	0	0	1	1	0	0	0
95	1	1	1	0	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	0	0	0	0	0
98	2	2	2	0	0	0	0	0	0	0
99	3	3	3	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0
101	1	1	1	0	0	0	0	0	0	0
102	4	4	4	0	0	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0
104	1	1	1	0	0	0	0	0	0	0
105	1	1	1	0	0	0	0	0	0	0
106	3	3	2	0	0	0	0	0	0	1
107	0	0	0	0	0	0	0	0	0	0
108	2	2	2	0	0	0	0	0	0	0
109	1	1	1	0	0	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	0	0	0	0	0	0
113	1	1	0	0	0	0	1	0	0	0
114	0	0	0	0	0	0	0	0	0	0
115	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0
117	1	1	1	0	0	0	0	0	0	0
118	0	0	0	0	0	0	0	0	0	0
119	2	2	1	1	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0
121	0	0	0	0	0	0	0	0	0	0
122	1	1	1	0	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0
126	2	2	0	0	0	1	0	0	0	1
127	0	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	0	0	0
