Turns	0	1	2	3	4	5	6
1	3737	81	0	0	0	0	0
2	3132	609	77	0	0	0	0
3	1984	1092	681	61	0	0	0
4	636	1193	1417	526	45	1	0
5	0	1290	1462	811	248	7	0
6	0	1075	1287	899	473	84	0
7	0	1017	1150	865	630	156	0
8	0	937	1159	773	684	265	0
9	0	898	1138	756	652	374	0
10	0	838	1091	771	736	382	0
11	0	792	1097	771	707	451	0
12	0	750	1041	776	765	486	0
13	0	683	1012	803	781	539	0
14	0	615	1015	803	805	580	0
15	0	586	948	876	793	615	0
16	0	547	913	885	851	622	0
17	0	487	876	896	909	650	0
18	0	465	838	959	922	634	0
19	0	468	826	915	955	654	0
20	0	442	822	919	990	645	0
21	0	483	770	938	991	636	0
22	0	470	701	1007	1029	611	0
23	0	427	633	953	1177	628	0
24	0	333	537	792	1236	920	0
25	0	283	474	727	1158	1176	0
