Turns	Winner	Looser
1	0.008381352	0.021215295
2	0.107647985	0.19984286
3	0.47983238	0.69067574
4	1.2697748	1.5165008
5	1.9601886	2.0099528
6	2.282085	2.2676795
7	2.4761655	2.4127815
8	2.6419592	2.5235724
9	2.7642746	2.598219
10	2.8792562	2.668151
11	2.9515452	2.7192247
12	3.047407	2.7894185
13	3.1223154	2.864065
14	3.1781037	2.9266632
15	3.2273443	2.974594
16	3.306967	3.0230486
17	3.3842325	3.0940282
18	3.4724987	3.1105292
19	3.5895758	3.1312206
20	3.6846516	3.1503406
21	3.831849	3.1380303
22	4.000786	3.1597695
23	4.328968	3.2477736
24	4.9002094	3.490571
25	5.9284964	3.6469355
