Opening	Count	%
S1-Q-A1-A2	3619	2.9858012
S1-Q-A1-A1	2949	2.4330277
G1-Q-A1-A2	2276	1.8777794
S1-S2-Q-A1	2015	1.6624452
S1-A1-Q-A2	1891	1.560141
S1-G1-A1-Q	1828	1.5081637
S1-A1-Q-A1	1819	1.5007384
S1-A1-A2-Q	1794	1.4801126
S1-S2-A1-Q	1642	1.3547072
G1-Q-A1-A1	1617	1.3340814
S1-Q-S2-S2	1453	1.1987756
S1-S2-B1-Q	1235	1.018918
G1-A1-Q-A2	1133	0.9347645
S1-G1-B1-Q	1120	0.92403907
S1-S2-Q-S2	1109	0.91496366
G1-A1-A2-Q	1092	0.9009381
S1-S2-G1-Q	1085	0.8951628
S1-A1-B1-Q	1060	0.87453693
S1-A1-Q-B1	1050	0.8662866
S1-G1-Q-A1	1020	0.84153557
S1-B1-A1-Q	990	0.8167845
G1-A1-B1-Q	981	0.8093592
G1-A1-Q-B1	978	0.8068841
A1-G1-B1-Q	957	0.78955835
G1-Q-S1-S1	941	0.7763578
S1-B1-Q-A1	912	0.7524318
S1-B1-B2-Q	907	0.74830663
G1-S1-A1-Q	901	0.7433564
S1-Q-S2-A1	891	0.73510605
G1-S1-B1-Q	887	0.7318059
G1-A1-Q-A1	882	0.72768074
G1-S1-S2-Q	827	0.68230385
S1-S2-Q-B1	820	0.6765286
S1-B1-G1-Q	813	0.67075336
A1-A2-Q-B1	799	0.6592029
A1-A2-A3-Q	787	0.6493024
A1-B1-B2-Q	780	0.6435272
B1-A1-A2-Q	767	0.6328017
G1-B1-B2-Q	765	0.6311517
G1-B1-A1-Q	763	0.6295016
G1-S1-Q-B1	752	0.62042624
A1-A2-B1-Q	745	0.61465096
B1-A1-B2-Q	733	0.6047506
A1-B1-Q-B2	724	0.59732527
B1-S1-S2-Q	712	0.5874248
B1-S1-A1-Q	709	0.58494973
S1-G1-Q-B1	699	0.5766994
A1-S1-B1-Q	685	0.5651489
S1-A1-G1-Q	683	0.5634988
A1-G1-Q-B1	678	0.5593736
S1-Q-A1-S2	658	0.54287297
G1-S1-Q-A1	656	0.5412229
S1-B1-S2-Q	651	0.5370977
G1-B1-S1-Q	646	0.5329725
G1-G2-B1-Q	645	0.53214747
B1-A1-Q-B2	640	0.5280223
S1-B1-Q-B2	635	0.5238971
S1-A1-S2-Q	629	0.51894695
G1-B1-Q-B2	624	0.51482177
B1-B2-S1-Q	624	0.51482177
B1-S1-B2-Q	623	0.5139967
B1-S1-Q-S1	615	0.50739646
B1-B2-Q-S1	607	0.50079614
A1-S1-Q-B1	589	0.48594552
G1-G2-Q-B1	585	0.4826454
G1-Q-B1-B2	579	0.4776952
S1-Q-S2-B1	576	0.47522008
B1-G1-A1-Q	566	0.46696973
S1-Q-B1-B2	560	0.46201953
B1-Q-A1-A1	560	0.46201953
B1-G1-B2-Q	559	0.4611945
B1-S1-G1-Q	554	0.4570693
S1-G1-S2-Q	552	0.45541924
G1-A1-S1-Q	548	0.4521191
A1-Q-B1-B2	541	0.44634387
A1-G1-S1-Q	539	0.44469377
S1-Q-A1-B1	527	0.43479338
B1-S1-Q-B2	522	0.4306682
B1-G1-S1-Q	521	0.42984316
A1-B1-A2-Q	519	0.4281931
G1-S1-Q-S1	516	0.42571798
G1-G2-A1-Q	511	0.4215928
G1-Q-S1-B1	508	0.41911772
G1-Q-A1-S1	503	0.41499254
S1-G1-Q-G1	500	0.41251743
B1-G1-Q-B2	490	0.40426707
A1-G1-A2-Q	482	0.3976668
G1-Q-S1-A1	467	0.38529128
B1-B2-G1-Q	463	0.38199115
B1-S1-Q-A1	461	0.38034108
