Turns	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9
1	0	0	0	0	0	0	4275	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	75	3975	225	0	0	0	0	0	0	0	0
3	0	0	0	0	0	60	4037	178	0	0	0	0	0	0	0	0
4	0	0	0	0	28	805	1772	1625	45	0	0	0	0	0	0	0
5	0	0	0	2	172	751	1378	1471	500	1	0	0	0	0	0	0
6	0	0	0	13	139	812	1448	1265	573	24	1	0	0	0	0	0
7	0	0	3	29	265	860	1373	1126	511	90	18	0	0	0	0	0
8	0	0	7	78	377	873	1242	979	514	178	27	0	0	0	0	0
9	0	0	29	132	448	811	1134	907	540	232	39	3	0	0	0	0
10	0	3	33	179	466	744	1012	919	605	232	66	13	3	0	0	0
11	0	6	40	169	452	799	1016	825	571	274	97	20	5	0	1	0
12	1	5	45	173	473	778	947	846	561	293	105	37	7	3	0	1
13	4	12	38	174	464	779	897	849	576	280	139	37	20	4	0	2
14	3	18	54	196	463	786	926	823	509	285	122	50	24	10	4	2
15	4	12	77	271	485	774	874	754	530	291	122	41	22	10	7	1
