Turns	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10
1	0	0	0	0	0	0	0	0	0	1962	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	62	1819	81	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	39	1859	64	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	4	423	846	679	10	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	127	375	635	637	188	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	8	86	389	714	585	169	11	0	0	0	0	0	0	0
7	0	0	0	0	0	2	18	135	385	600	526	265	29	2	0	0	0	0	0	0
8	0	0	0	0	0	1	43	163	421	525	471	249	76	13	0	0	0	0	0	0
9	0	0	0	0	0	13	68	185	361	479	448	282	106	18	2	0	0	0	0	0
10	0	0	0	0	3	19	78	198	341	434	454	249	146	33	6	1	0	0	0	0
11	0	0	0	1	3	24	105	180	335	411	400	279	163	53	7	1	0	0	0	0
12	0	0	1	2	8	33	113	186	323	375	381	282	166	73	18	0	1	0	0	0
13	0	0	1	4	14	62	102	203	308	344	354	297	170	64	33	6	0	0	0	0
14	0	0	3	7	18	53	117	191	304	341	303	301	177	91	40	12	3	1	0	0
15	0	1	2	9	22	79	123	184	278	296	332	285	180	101	53	14	3	0	0	0
16	0	0	0	14	25	69	126	197	252	292	290	275	214	117	63	19	8	1	0	0
17	0	1	8	12	37	79	121	185	233	279	291	252	206	130	81	42	5	0	0	0
18	0	0	1	22	36	93	125	174	215	255	264	269	196	154	92	50	15	1	0	0
19	0	0	6	24	47	88	124	180	210	209	248	253	209	169	113	58	21	3	0	0
20	0	4	5	16	43	104	132	177	184	214	231	220	232	154	137	72	26	10	1	0
21	1	1	8	20	37	102	146	151	175	210	208	229	223	158	138	102	34	16	2	1
22	1	1	4	23	41	95	132	162	171	203	203	186	216	188	152	101	60	16	7	0
23	0	3	9	21	48	105	130	154	175	176	174	178	196	179	182	111	80	27	11	3
24	0	4	9	21	44	94	141	150	180	169	200	161	194	167	135	126	87	62	11	7
25	1	3	9	19	30	72	130	180	185	196	191	179	187	172	128	111	79	59	27	4
