Opening	Count	%
S1-Q-A1-A2	3018	5.0234694
G1-Q-A1-A2	1940	3.2291355
S1-Q-A1-A1	1899	3.1608908
S1-A1-Q-A2	1506	2.5067413
S1-S2-Q-A1	1407	2.3419554
G1-Q-A1-A1	1194	1.9874164
S1-A1-Q-A1	1171	1.9491328
S1-A1-A2-Q	1094	1.8209661
S1-G1-A1-Q	1079	1.7959986
S1-S2-A1-Q	990	1.6478578
G1-A1-Q-A2	911	1.5163621
S1-Q-S2-S2	889	1.479743
G1-Q-S1-S1	731	1.2167516
S1-S2-Q-S2	646	1.0752689
S1-G1-Q-A1	622	1.0353208
G1-A1-Q-A1	618	1.0286627
S1-Q-S2-A1	615	1.0236692
G1-A1-A2-Q	552	0.91880554
S1-S2-G1-Q	519	0.86387694
S1-B1-Q-A1	486	0.80894834
S1-Q-A1-S2	483	0.80395484
S1-S2-B1-Q	480	0.79896134
S1-A1-B1-Q	440	0.7323812
G1-S1-S2-Q	434	0.7223942
S1-G1-B1-Q	433	0.7207297
S1-B1-A1-Q	431	0.7174007
S1-A1-Q-B1	430	0.7157362
G1-Q-A1-S1	426	0.7090782
G1-A1-Q-B1	407	0.6774526
G1-S1-Q-A1	390	0.6491561
B1-A1-A2-Q	376	0.62585306
G1-Q-S1-A1	372	0.61919504
G1-A1-Q-S1	368	0.612537
G1-S1-A1-Q	364	0.605879
G1-A1-B1-Q	357	0.5942275
B1-Q-A1-A1	350	0.582576
B1-S1-Q-S1	343	0.57092446
G1-Q-S1-S2	333	0.55427945
A1-A2-A3-Q	327	0.5442924
S1-S2-Q-B1	321	0.5343054
A1-A2-Q-B1	319	0.5309764
B1-A1-B2-Q	318	0.5293119
B1-S1-S2-Q	311	0.5176604
B1-Q-A1-A2	305	0.5076734
S1-A1-S2-Q	303	0.50434434
G1-S1-B1-Q	301	0.50101537
S1-B1-B2-Q	297	0.49435735
A1-B1-B2-Q	293	0.48769933
A1-A2-B1-Q	289	0.4810413
B1-S1-A1-Q	286	0.4760478
A1-B1-Q-B2	285	0.4743833
S1-B1-G1-Q	281	0.46772528
B1-A1-Q-B2	281	0.46772528
G1-B1-A1-Q	276	0.45940277
G1-S1-Q-B1	275	0.45773828
G1-B1-B2-Q	274	0.45607376
G1-Q-B1-B2	272	0.45274475
G1-B1-Q-B2	268	0.44608676
B1-B2-Q-S1	267	0.44442225
G1-S1-Q-S1	260	0.43277073
S1-A1-G1-Q	258	0.42944172
S1-B1-Q-B2	254	0.4227837
S1-G1-Q-B1	251	0.4177902
S1-Q-A1-B1	248	0.4127967
S1-B1-S2-Q	247	0.4111322
A1-G1-B1-Q	246	0.4094677
G1-G2-B1-Q	244	0.4061387
S1-Q-S2-B1	241	0.4011452
S1-G1-Q-G1	240	0.39948067
G1-A1-S1-Q	240	0.39948067
G1-Q-S1-B1	239	0.39781618
S1-G1-S2-Q	238	0.39615166
A1-Q-B1-B2	237	0.39448717
G1-G2-Q-B1	236	0.39282265
A1-S1-B1-Q	231	0.38450015
S1-Q-B1-B2	229	0.38117114
B1-S1-B2-Q	223	0.37118414
B1-G1-B2-Q	223	0.37118414
S1-A1-Q-G1	221	0.36785513
B1-S1-Q-A1	221	0.36785513
B1-Q-B2-S1	220	0.3661906
B1-B2-S1-Q	213	0.3545391
