Turns	0	1	2	3	4	5	6
1	3786	32	0	0	0	0	0
2	3437	351	30	0	0	0	0
3	2522	777	502	17	0	0	0
4	1004	1220	1181	386	27	0	0
5	0	1335	1528	735	212	8	0
6	0	989	1296	1065	403	65	0
7	0	818	1222	1029	640	109	0
8	0	647	1209	1018	752	192	0
9	0	574	1139	987	849	269	0
10	0	510	1059	1000	880	369	0
11	0	433	1058	1016	883	428	0
12	0	351	998	1048	961	460	0
13	0	304	915	1103	1002	494	0
14	0	272	890	1109	980	567	0
15	0	236	859	1104	1039	580	0
16	0	199	821	1070	1065	663	0
17	0	146	765	1071	1148	688	0
18	0	129	620	1142	1172	755	0
19	0	98	477	1162	1238	843	0
20	0	76	384	1122	1322	914	0
21	0	23	256	1051	1498	990	0
22	0	9	99	873	1736	1101	0
23	0	4	31	207	2039	1537	0
24	0	0	0	28	325	3465	0
25	0	0	0	0	0	273	3545
