turn	all	all-d	all-p	all-t	d-hive	d-hive-l	d-hive-lm	d-hive-m	d-hive-p	d-hive-pl	d-hive-plm	d-hive-pm	p-hive	p-hive-l	p-hive-lm	p-hive-m	p-hive-p	p-hive-pl	p-hive-plm	p-hive-pm	t-hive	t-hive-l	t-hive-lm	t-hive-m	t-hive-p	t-hive-pl	t-hive-plm	t-hive-pm
5	5	1	4	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	117	94	23	0	83	0	3	8	0	0	0	0	18	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0
7	246	202	43	1	162	2	12	23	1	0	1	1	31	1	4	5	1	0	1	0	0	0	0	0	0	0	1	0
8	259	196	63	0	172	3	8	11	2	0	0	0	41	1	9	10	1	0	1	0	0	0	0	0	0	0	0	0
9	335	233	99	3	190	0	17	23	2	0	1	0	67	1	11	14	2	0	3	1	1	0	0	1	0	0	1	0
10	705	469	224	12	350	11	31	69	3	0	4	1	152	1	28	27	7	0	9	0	1	0	0	11	0	0	0	0
11	1401	959	425	17	739	5	58	153	1	0	2	1	273	5	58	74	9	0	4	2	1	0	0	12	4	0	0	0
12	3666	2689	955	22	1911	28	171	531	22	0	22	4	596	10	154	149	19	0	26	1	3	2	1	11	4	1	0	0
13	5776	4386	1343	47	3009	82	481	760	25	1	24	4	866	20	194	184	45	0	31	3	13	5	1	17	8	0	1	2
14	8052	6276	1730	46	4247	114	771	1073	34	1	31	5	1067	23	305	248	50	1	33	3	10	6	1	13	9	0	6	1
15	9820	7940	1823	57	5320	157	1103	1268	42	0	45	5	1156	23	308	231	64	1	36	4	14	5	3	24	10	0	1	0
16	10961	9221	1672	68	6051	167	1453	1430	56	0	60	4	1077	20	273	212	56	1	31	2	26	11	3	14	8	2	2	2
17	10791	9104	1621	66	6018	156	1511	1287	52	6	68	6	1096	19	232	176	62	1	35	0	29	6	3	14	8	2	3	1
18	10156	8604	1507	45	5697	166	1441	1172	60	3	56	9	946	15	257	184	59	2	40	4	10	5	3	9	11	0	5	2
19	9304	7994	1261	49	5352	149	1331	1053	44	2	55	8	836	23	180	140	37	0	45	0	14	4	1	13	12	1	2	2
20	8165	6987	1136	42	4611	112	1197	944	56	1	58	8	784	17	151	106	49	1	25	3	11	5	1	6	13	0	4	2
21	7371	6346	984	41	4252	86	1056	840	58	0	46	8	662	17	140	110	36	2	17	0	14	3	1	9	8	1	4	1
22	6379	5514	829	36	3758	92	949	634	42	2	31	6	555	5	111	94	31	0	29	4	13	4	1	3	14	0	0	1
23	5755	4998	728	29	3498	73	783	574	32	1	33	4	511	7	96	68	30	0	14	2	12	2	0	10	3	0	2	0
24	5033	4371	638	24	3054	59	656	524	33	0	40	5	453	5	70	57	29	1	20	3	11	1	1	2	5	1	2	1
25	4429	3870	523	36	2691	69	575	462	35	0	31	7	342	7	63	60	27	0	20	4	11	2	3	6	11	0	3	0
26	3901	3385	486	30	2375	46	488	404	44	1	26	1	327	6	53	56	31	1	11	1	10	0	2	4	11	0	3	0
27	3278	2904	357	17	2044	51	394	331	46	0	35	3	227	3	51	41	23	1	11	0	8	0	1	1	7	0	0	0
28	3047	2703	332	12	1905	48	379	305	33	1	28	4	220	6	45	30	22	0	6	3	5	0	1	2	2	0	2	0
29	2617	2318	282	17	1613	43	327	270	34	0	27	4	161	4	48	39	18	1	11	0	7	2	0	2	5	1	0	0
30	2260	2011	236	13	1421	35	254	238	33	1	22	7	148	1	36	17	18	0	15	1	5	0	0	0	7	0	1	0
31	1959	1752	195	12	1257	29	241	179	19	0	24	3	127	1	22	21	16	0	6	2	5	0	0	2	4	0	1	0
32	1741	1599	134	8	1139	19	199	196	19	1	21	5	83	1	12	21	11	0	4	2	2	0	0	3	1	0	2	0
33	1397	1254	140	3	881	23	189	130	12	1	14	4	81	1	23	22	9	0	3	1	2	0	0	1	0	0	0	0
34	1217	1104	106	7	794	23	129	117	22	0	15	4	68	4	13	8	9	0	4	0	4	0	0	1	2	0	0	0
35	1038	941	90	7	658	17	135	114	9	0	8	0	58	1	11	8	10	0	2	0	2	0	1	1	2	0	1	0
36	901	822	70	9	576	10	131	80	13	1	11	0	51	1	7	6	2	0	1	2	3	0	0	1	5	0	0	0
37	739	667	66	6	455	8	95	81	15	0	11	2	36	2	11	6	5	0	6	0	1	1	0	0	4	0	0	0
38	661	589	66	6	413	7	74	68	15	0	10	2	42	1	7	7	4	0	3	2	2	0	0	1	3	0	0	0
39	596	554	36	6	394	11	77	56	9	0	7	0	29	1	2	3	0	0	1	0	1	0	0	1	4	0	0	0
40	509	459	46	4	303	12	64	60	6	0	13	1	31	0	5	2	6	0	2	0	3	0	0	1	0	0	0	0
41	434	399	31	4	273	8	46	56	7	0	7	2	16	0	3	4	8	0	0	0	3	1	0	0	0	0	0	0
42	362	325	34	3	238	3	42	33	4	0	5	0	19	0	5	3	4	0	2	1	2	0	0	0	1	0	0	0
43	352	312	37	3	222	4	32	38	6	1	7	2	21	1	6	1	4	0	3	1	0	0	0	0	2	0	1	0
44	295	267	25	3	194	5	29	31	3	0	5	0	17	0	2	1	3	0	2	0	0	0	0	0	3	0	0	0
45	267	244	22	1	174	3	24	31	4	0	7	1	16	0	2	2	1	0	1	0	0	0	0	0	0	0	1	0
