Type	Count	%
1	all	143737	100.0
2	all-d	121333	84.4132
3	all-p	21518	14.970397
4	all-t	886	0.6164036
5	d-hive	83267	57.930107
6	d-hive-l	2021	1.4060402
7	d-hive-lm	17745	12.345465
8	d-hive-m	16117	11.21284
9	d-hive-p	1035	0.7200651
10	d-hive-pl	25	0.017392877
11	d-hive-plm	972	0.6762351
12	d-hive-pm	151	0.10505298
13	p-hive	13980	9.726097
14	p-hive-l	274	0.19062594
15	p-hive-lm	3123	2.1727183
16	p-hive-m	2555	1.777552
17	p-hive-p	932	0.64840645
18	p-hive-pl	14	0.009740011
19	p-hive-plm	580	0.40351474
20	p-hive-pm	60	0.041742906
21	t-hive	288	0.20036595
22	t-hive-l	66	0.045917194
23	t-hive-lm	33	0.022958597
24	t-hive-m	202	0.14053445
25	t-hive-p	214	0.14888303
26	t-hive-pl	10	0.006957151
27	t-hive-plm	57	0.03965576
28	t-hive-pm	16	0.011131441
