Turns	0	1	2	3	4	5	6
1	4277	89	0	0	0	0	0
2	3567	714	85	0	0	0	0
3	2118	1373	810	65	0	0	0
4	664	1414	1627	608	52	1	0
5	0	1440	1708	942	265	11	0
6	0	1194	1536	1043	504	89	0
7	0	1114	1384	1026	682	160	0
8	0	1029	1350	973	738	276	0
9	0	987	1310	943	736	390	0
10	0	924	1259	946	840	397	0
11	0	871	1267	928	826	474	0
12	0	833	1176	945	892	520	0
13	0	762	1145	970	912	577	0
14	0	692	1150	977	922	625	0
15	0	661	1078	1034	915	678	0
16	0	620	1037	1041	976	692	0
17	0	564	983	1052	1046	721	0
18	0	538	957	1113	1053	705	0
19	0	543	927	1079	1091	726	0
20	0	512	934	1075	1133	712	0
21	0	547	879	1116	1122	702	0
22	0	527	820	1175	1154	690	0
23	0	481	748	1123	1316	698	0
24	0	395	634	942	1385	1010	0
25	0	345	559	863	1302	1297	0
