Opening	Count	%
G1-Q-A1-A2	103	7.233146
G1-Q-S1-A1	101	7.0926967
G1-Q-S1-S1	92	6.4606743
L1-M1-Q-A1	83	5.828652
G1-G2-Q-A1	80	5.6179776
G1-Q-A1-S1	53	3.72191
G1-Q-A1-A1	46	3.2303371
G1-Q-G2-A1	34	2.3876405
G1-A1-Q-A2	32	2.247191
B1-Q-S1-A1	29	2.036517
B1-Q-S1-S1	26	1.8258427
L1-Q-M1-A1	25	1.755618
G1-G2-Q-S1	25	1.755618
B1-Q-A1-A2	22	1.5449438
G1-Q-S1-G2	18	1.264045
G1-Q-A1-M1	18	1.264045
G1-G2-Q-G2	18	1.264045
G1-A1-Q-S1	18	1.264045
L1-Q-M1-S1	17	1.1938202
G1-Q-S1-S2	17	1.1938202
B1-G1-Q-A1	17	1.1938202
B1-M1-Q-A1	15	1.0533708
L1-Q-A1-A2	14	0.9831461
L1-G1-Q-A1	14	0.9831461
G1-S1-Q-A1	13	0.91292137
G1-Q-A1-G2	13	0.91292137
L1-M1-Q-S1	12	0.8426966
B1-Q-A1-S1	12	0.8426966
B1-A1-Q-A2	12	0.8426966
G1-Q-M1-A1	11	0.7724719
B1-Q-G1-A1	11	0.7724719
S1-G1-M1-Q	10	0.7022472
L1-Q-A1-A1	10	0.7022472
G1-A1-Q-A1	9	0.6320225
B1-Q-S1-S2	9	0.6320225
B1-A1-Q-S1	9	0.6320225
L1-Q-S1-S1	8	0.56179774
L1-M1-Q-M1	8	0.56179774
S1-Q-A1-A1	7	0.49157304
G1-S1-Q-S1	7	0.49157304
G1-Q-B1-B1	7	0.49157304
G1-M1-Q-A1	7	0.49157304
B1-Q-S1-G1	7	0.49157304
B1-Q-Q-B1	7	0.49157304
Q-A1-A1-A2	6	0.4213483
P-Q-A1-A2	6	0.4213483
L1-Q-A1-M1	6	0.4213483
G1-Q-G2-S1	6	0.4213483
G1-Q-B1-S1	6	0.4213483
G1-Q-B1-A1	6	0.4213483
B1-Q-M1-A1	6	0.4213483
S1-Q-A1-A2	5	0.3511236
L1-Q-S1-A1	5	0.3511236
L1-Q-M1-M1	5	0.3511236
G1-Q-S1-M1	5	0.3511236
G1-Q-P-S1	5	0.3511236
G1-Q-G2-G2	5	0.3511236
B1-Q-A1-A1	5	0.3511236
S1-Q-S2-S2	4	0.28089887
Q-A1-A1-S1	4	0.28089887
L1-G1-Q-S1	4	0.28089887
L1-A1-Q-A1	4	0.28089887
G1-S1-S2-Q	4	0.28089887
B1-Q-Q-A1	4	0.28089887
S1-Q-S2-A1	3	0.21067415
S1-Q-A1-M1	3	0.21067415
P-Q-S1-A1	3	0.21067415
M1-Q-L1-S1	3	0.21067415
M1-Q-A1-A2	3	0.21067415
L1-Q-P-A1	3	0.21067415
L1-Q-G1-G1	3	0.21067415
L1-Q-G1-A1	3	0.21067415
L1-G1-Q-G1	3	0.21067415
L1-A1-Q-A2	3	0.21067415
G1-Q-S1-P	3	0.21067415
G1-Q-P-A1	3	0.21067415
G1-Q-L1-A1	3	0.21067415
G1-Q-A1-P	3	0.21067415
G1-Q-A1-B1	3	0.21067415
G1-B1-Q-S1	3	0.21067415
G1-B1-Q-A1	3	0.21067415
G1-A1-S1-Q	3	0.21067415
G1-A1-Q-M1	3	0.21067415
G1-A1-Q-G2	3	0.21067415
B1-Q-M1-M1	3	0.21067415
B1-Q-G1-S1	3	0.21067415
B1-Q-A1-M1	3	0.21067415
S1-S2-Q-S2	2	0.14044943
S1-Q-M1-A1	2	0.14044943
S1-G1-G2-Q	2	0.14044943
S1-A1-A2-Q	2	0.14044943
Q-S1-S1-A1	2	0.14044943
Q-A1-A1-M1	2	0.14044943
P-Q-M1-A1	2	0.14044943
P-Q-A1-B1	2	0.14044943
P-Q-A1-A1	2	0.14044943
M1-Q-P-A1	2	0.14044943
M1-A1-Q-A2	2	0.14044943
L1-Q-A1-G1	2	0.14044943
L1-A1-Q-M1	2	0.14044943
G1-Q-S1-B1	2	0.14044943
G1-Q-G2-Q	2	0.14044943
G1-P-Q-A1	2	0.14044943
G1-M1-Q-S1	2	0.14044943
G1-L1-Q-S1	2	0.14044943
B1-Q-M1-P	2	0.14044943
B1-Q-A1-G1	2	0.14044943
S1-S2-Q-A1	1	0.07022472
S1-Q-S2-B1	1	0.07022472
S1-Q-Q-A1	1	0.07022472
S1-Q-B1-G1	1	0.07022472
S1-Q-B1-B1	1	0.07022472
S1-Q-A1-S2	1	0.07022472
S1-Q-A1-Q	1	0.07022472
S1-Q-A1-G1	1	0.07022472
S1-M1-Q-A1	1	0.07022472
S1-M1-L1-Q	1	0.07022472
S1-L1-M1-Q	1	0.07022472
S1-L1-G1-Q	1	0.07022472
S1-G1-Q-B1	1	0.07022472
S1-G1-A1-Q	1	0.07022472
S1-B1-Q-S2	1	0.07022472
S1-A1-Q-A2	1	0.07022472
