Turns	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7
1	0	0	0	0	0	21	0	0	0	0	0	0	0
2	0	0	0	0	1	20	0	0	0	0	0	0	0
3	0	0	0	3	15	3	0	0	0	0	0	0	0
4	0	0	0	2	18	1	0	0	0	0	0	0	0
5	0	0	0	3	9	9	0	0	0	0	0	0	0
6	0	0	0	4	2	15	0	0	0	0	0	0	0
7	0	0	0	3	7	7	4	0	0	0	0	0	0
8	0	0	0	2	6	9	4	0	0	0	0	0	0
9	0	0	2	2	3	10	3	1	0	0	0	0	0
10	0	0	2	3	5	5	5	0	1	0	0	0	0
11	0	0	0	4	5	6	3	3	0	0	0	0	0
12	0	0	2	2	6	4	6	1	0	0	0	0	0
13	0	0	3	4	4	6	3	1	0	0	0	0	0
14	0	2	1	3	3	6	2	4	0	0	0	0	0
15	0	0	3	3	3	4	4	3	1	0	0	0	0
16	0	2	1	3	2	3	5	1	3	0	1	0	0
17	0	0	4	1	3	5	2	2	2	2	0	0	0
18	1	0	1	3	2	1	5	4	2	2	0	0	0
19	1	1	1	2	1	4	5	2	2	2	0	0	0
20	1	0	1	1	4	2	4	3	1	3	0	1	0
21	2	0	4	0	0	3	0	5	5	0	1	1	0
22	1	1	3	1	1	0	3	1	5	3	1	1	0
23	0	2	3	1	1	0	3	2	3	3	0	3	0
24	0	3	1	1	3	0	1	2	4	2	2	2	0
25	0	2	0	3	0	3	1	3	1	1	2	3	2
