Opening	Count	%
G1-Q-S1-S1	37	8.114035
G1-Q-S1-A1	34	7.4561405
G1-G2-Q-A1	29	6.359649
G1-Q-A1-A2	28	6.140351
L1-M1-Q-A1	27	5.9210525
G1-Q-A1-S1	22	4.8245616
G1-Q-A1-A1	19	4.1666665
B1-Q-S1-S1	13	2.8508773
G1-A1-Q-A2	11	2.4122808
B1-Q-S1-A1	11	2.4122808
G1-Q-G2-A1	9	1.9736842
L1-Q-M1-S1	8	1.754386
B1-Q-A1-A2	8	1.754386
L1-Q-A1-A2	7	1.5350877
G1-Q-S1-G2	7	1.5350877
G1-Q-M1-A1	7	1.5350877
B1-G1-Q-A1	7	1.5350877
L1-Q-M1-A1	6	1.3157895
G1-Q-S1-S2	6	1.3157895
G1-G2-Q-S1	6	1.3157895
B1-M1-Q-A1	6	1.3157895
G1-Q-A1-M1	5	1.0964912
G1-A1-Q-S1	5	1.0964912
B1-Q-A1-S1	5	1.0964912
L1-Q-A1-A1	4	0.877193
G1-S1-Q-A1	4	0.877193
G1-Q-B1-B1	4	0.877193
B1-Q-S1-S2	4	0.877193
P-Q-A1-A2	3	0.65789473
L1-Q-S1-S1	3	0.65789473
L1-Q-S1-A1	3	0.65789473
L1-Q-A1-M1	3	0.65789473
L1-M1-Q-S1	3	0.65789473
L1-M1-Q-M1	3	0.65789473
G1-Q-A1-G2	3	0.65789473
B1-Q-S1-G1	3	0.65789473
B1-Q-A1-A1	3	0.65789473
B1-A1-Q-A2	3	0.65789473
S1-G1-M1-Q	2	0.4385965
Q-A1-A1-S1	2	0.4385965
Q-A1-A1-M1	2	0.4385965
Q-A1-A1-A2	2	0.4385965
P-Q-S1-A1	2	0.4385965
L1-Q-M1-M1	2	0.4385965
L1-G1-Q-S1	2	0.4385965
G1-S1-Q-S1	2	0.4385965
G1-Q-P-A1	2	0.4385965
G1-Q-G2-S1	2	0.4385965
G1-Q-G2-G2	2	0.4385965
G1-G2-Q-G2	2	0.4385965
G1-A1-Q-A1	2	0.4385965
B1-Q-Q-B1	2	0.4385965
B1-Q-M1-A1	2	0.4385965
B1-Q-A1-M1	2	0.4385965
B1-A1-Q-S1	2	0.4385965
S1-S2-Q-S2	1	0.21929824
S1-S2-Q-A1	1	0.21929824
S1-Q-S2-S2	1	0.21929824
S1-Q-S2-A1	1	0.21929824
S1-Q-Q-A1	1	0.21929824
S1-Q-B1-G1	1	0.21929824
S1-Q-A1-M1	1	0.21929824
S1-Q-A1-A2	1	0.21929824
S1-Q-A1-A1	1	0.21929824
S1-M1-Q-A1	1	0.21929824
S1-L1-M1-Q	1	0.21929824
S1-G1-G2-Q	1	0.21929824
S1-G1-A1-Q	1	0.21929824
Q-A1-A2-A2	1	0.21929824
Q-A1-A2-A1	1	0.21929824
P-Q-M1-L1	1	0.21929824
P-G1-Q-A1	1	0.21929824
M1-Q-A1-A2	1	0.21929824
M1-P-Q-A1	1	0.21929824
M1-B1-Q-B2	1	0.21929824
M1-A1-Q-A2	1	0.21929824
L1-Q-P-A1	1	0.21929824
L1-Q-B1-B1	1	0.21929824
L1-Q-B1-A1	1	0.21929824
L1-Q-A1-S1	1	0.21929824
L1-Q-A1-G1	1	0.21929824
L1-M1-S1-Q	1	0.21929824
L1-G1-Q-A1	1	0.21929824
L1-A1-Q-A1	1	0.21929824
G1-S1-S2-Q	1	0.21929824
G1-S1-B1-Q	1	0.21929824
G1-Q-S1-P	1	0.21929824
G1-Q-S1-M1	1	0.21929824
G1-Q-P-S1	1	0.21929824
G1-Q-B1-S1	1	0.21929824
G1-Q-B1-A1	1	0.21929824
G1-Q-A1-P	1	0.21929824
G1-Q-A1-B1	1	0.21929824
G1-P-Q-S1	1	0.21929824
G1-M1-Q-A1	1	0.21929824
G1-L1-Q-L1	1	0.21929824
G1-A1-S1-Q	1	0.21929824
G1-A1-Q-M1	1	0.21929824
B1-Q-Q-S1	1	0.21929824
B1-Q-Q-Q	1	0.21929824
B1-Q-M1-P	1	0.21929824
B1-Q-M1-M1	1	0.21929824
B1-Q-M1-G1	1	0.21929824
B1-Q-G1-S1	1	0.21929824
B1-Q-G1-A1	1	0.21929824
B1-Q-A1-G1	1	0.21929824
B1-L1-Q-A1	1	0.21929824
B1-G1-G2-Q	1	0.21929824
Total	456
