turn	all	all-p	all-t	p-hive	p-hive-l	p-hive-lm	p-hive-m	p-hive-p	p-hive-plm	p-hive-pm	t-hive	t-hive-l	t-hive-lm	t-hive-m	t-hive-p	t-hive-pl	t-hive-plm	t-hive-pm
7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10	6	6	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0
11	12	11	1	1	0	0	7	0	3	0	0	0	0	0	1	0	0	0
12	22	18	4	6	0	4	5	0	3	0	0	0	1	0	2	0	1	0
13	30	23	7	10	1	4	6	1	1	0	4	1	1	0	0	0	1	0
14	57	45	12	14	2	11	10	4	4	0	4	1	3	2	1	0	1	0
15	69	62	7	25	3	16	10	4	4	0	0	1	1	2	2	0	1	0
16	64	54	10	26	2	17	3	4	2	0	5	3	0	2	0	0	0	0
17	73	59	14	24	5	12	6	9	3	0	6	1	2	4	1	0	0	0
18	81	72	9	21	2	18	16	7	8	0	2	2	2	0	1	0	1	1
19	60	55	5	22	5	16	6	2	4	0	2	1	0	0	0	1	1	0
20	76	65	11	30	3	16	9	4	2	1	4	2	1	2	2	0	0	0
21	63	52	11	21	3	12	7	5	4	0	7	2	1	0	0	0	1	0
22	66	58	8	24	0	17	9	5	3	0	3	2	1	1	1	0	0	0
23	43	38	5	16	3	4	6	4	4	1	4	0	0	1	0	0	0	0
24	50	40	10	16	1	3	10	3	6	1	5	0	1	1	1	1	1	0
25	53	42	11	19	1	7	7	4	3	1	1	2	3	1	3	0	1	0
26	32	26	6	11	2	3	7	1	2	0	3	0	2	0	1	0	0	0
27	35	30	5	17	0	2	5	2	4	0	3	0	0	0	2	0	0	0
28	34	29	5	13	2	6	3	2	3	0	2	0	1	1	0	0	1	0
29	29	25	4	12	1	5	4	1	2	0	2	0	0	0	2	0	0	0
30	32	29	3	15	0	7	4	2	1	0	2	0	0	0	1	0	0	0
31	25	23	2	7	0	4	4	6	2	0	1	0	0	0	1	0	0	0
32	17	13	4	4	0	2	1	4	2	0	1	0	0	1	0	0	2	0
33	24	24	0	11	1	2	7	2	1	0	0	0	0	0	0	0	0	0
34	13	13	0	5	2	3	1	2	0	0	0	0	0	0	0	0	0	0
35	26	22	4	13	0	3	3	1	2	0	1	0	1	0	1	0	1	0
36	12	11	1	5	1	2	1	0	1	1	1	0	0	0	0	0	0	0
37	14	13	1	3	0	3	4	1	2	0	1	0	0	0	0	0	0	0
38	10	10	0	4	1	2	1	1	1	0	0	0	0	0	0	0	0	0
39	13	8	5	6	0	0	2	0	0	0	1	0	0	0	4	0	0	0
40	12	10	2	5	0	3	0	2	0	0	2	0	0	0	0	0	0	0
41	4	2	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0
42	6	5	1	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0
43	5	5	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
44	5	4	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0
45	3	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
46	4	3	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
47	8	8	0	2	0	1	3	1	1	0	0	0	0	0	0	0	0	0
