Turns	Winner	Looser
1	0.02173913	0.0
2	0.2173913	0.2173913
3	1.2173913	1.2826087
4	1.6956521	1.5869565
5	2.2173913	1.9565217
6	2.0652175	1.9347826
7	2.4130435	2.0434783
8	2.5	2.173913
9	2.652174	2.3695652
10	2.7391305	2.347826
11	2.8913043	2.4782608
12	3.0434783	2.5652175
13	3.2391305	2.7391305
14	3.1304348	2.7173913
15	3.326087	2.7608695
16	3.1086957	2.826087
17	3.1956522	2.9347825
18	3.3043478	2.847826
19	3.4782608	3.0217392
20	3.7173913	2.8695652
21	3.8043478	2.9347825
22	4.130435	2.9347825
23	4.304348	3.0217392
24	4.847826	3.173913
25	5.8913045	3.2608695
