Opening	Count	%
G1-A1-Q-A1	366	25.702248
G1-Q-A1-A1	186	13.061798
G1-Q-S1-S1	103	7.233146
L1-A1-Q-A1	72	5.05618
G1-Q-A1-A2	51	3.5814607
S1-A1-Q-A1	43	3.0196629
B1-A1-Q-A1	43	3.0196629
S1-Q-A1-A1	34	2.3876405
G1-A1-Q-A2	33	2.3174157
G1-Q-A1-S1	29	2.036517
L1-Q-A1-A1	27	1.8960674
S1-Q-S2-S2	25	1.755618
G1-Q-A1-M1	24	1.6853932
G1-A1-Q-S1	24	1.6853932
P-A1-Q-A1	21	1.474719
B1-Q-A1-A1	17	1.1938202
G1-Q-S1-A1	15	1.0533708
L1-A1-Q-M1	12	0.8426966
G1-S1-Q-S1	12	0.8426966
L1-Q-S1-S1	11	0.7724719
L1-M1-Q-A1	11	0.7724719
P-Q-A1-A1	10	0.7022472
L1-A1-Q-S1	10	0.7022472
G1-Q-S1-S2	10	0.7022472
G1-Q-A1-G2	8	0.56179774
S1-Q-A1-S2	7	0.49157304
G1-Q-B1-B1	7	0.49157304
B1-A1-Q-A2	7	0.49157304
L1-A1-M1-Q	6	0.4213483
G1-S1-Q-A1	6	0.4213483
P-Q-S1-S1	5	0.3511236
G1-A1-M1-Q	5	0.3511236
S1-Q-A1-A2	4	0.28089887
S1-G1-Q-A1	4	0.28089887
S1-A1-Q-A2	4	0.28089887
Q-S1-A1-S1	4	0.28089887
L1-Q-A1-M1	4	0.28089887
L1-Q-A1-G1	4	0.28089887
L1-A1-Q-A2	4	0.28089887
G1-A1-Q-P	4	0.28089887
G1-A1-Q-M1	4	0.28089887
B1-Q-A1-S1	4	0.28089887
S1-G1-Q-S2	3	0.21067415
L1-Q-S1-A1	3	0.21067415
L1-Q-B1-B1	3	0.21067415
L1-Q-A1-A2	3	0.21067415
L1-M1-Q-S1	3	0.21067415
G1-Q-S1-M1	3	0.21067415
G1-Q-G2-G2	3	0.21067415
G1-M1-A1-Q	3	0.21067415
G1-G2-Q-G2	3	0.21067415
S1-Q-S2-A1	2	0.14044943
S1-Q-G1-G1	2	0.14044943
S1-Q-B1-B1	2	0.14044943
S1-G1-M1-Q	2	0.14044943
M1-Q-S1-S1	2	0.14044943
L1-Q-S1-M1	2	0.14044943
L1-Q-M1-A1	2	0.14044943
L1-Q-G1-G1	2	0.14044943
L1-A1-Q-P	2	0.14044943
G1-Q-M1-A1	2	0.14044943
G1-Q-B1-A1	2	0.14044943
G1-Q-A1-P	2	0.14044943
G1-Q-A1-B1	2	0.14044943
G1-G2-A1-Q	2	0.14044943
G1-B1-Q-S1	2	0.14044943
G1-B1-A1-Q	2	0.14044943
G1-A1-Q-Q	2	0.14044943
G1-A1-Q-G2	2	0.14044943
G1-A1-Q-B1	2	0.14044943
G1-A1-A2-Q	2	0.14044943
B1-Q-S1-S1	2	0.14044943
B1-Q-A1-A2	2	0.14044943
B1-A1-Q-S1	2	0.14044943
B1-A1-Q-M1	2	0.14044943
S1-Q-G1-S2	1	0.07022472
S1-L1-M1-Q	1	0.07022472
S1-G1-G2-Q	1	0.07022472
S1-G1-A1-Q	1	0.07022472
S1-B1-Q-B1	1	0.07022472
S1-A1-S2-Q	1	0.07022472
S1-A1-Q-S2	1	0.07022472
S1-A1-Q-Q	1	0.07022472
S1-A1-Q-G1	1	0.07022472
S1-A1-Q-B1	1	0.07022472
S1-A1-M1-Q	1	0.07022472
Q-S1-S2-S1	1	0.07022472
Q-S1-S2-B1	1	0.07022472
Q-S1-S1-B1	1	0.07022472
Q-S1-S1-A1	1	0.07022472
Q-B1-B1-Q	1	0.07022472
Q-A1-S1-M1	1	0.07022472
Q-A1-A2-M1	1	0.07022472
Q-A1-A2-A3	1	0.07022472
Q-A1-A2-A2	1	0.07022472
Q-A1-A2-A1	1	0.07022472
Q-A1-A1-S1	1	0.07022472
Q-A1-A1-B1	1	0.07022472
Q-A1-A1-A1	1	0.07022472
P-S1-S2-Q	1	0.07022472
P-Q-S1-A1	1	0.07022472
P-Q-B1-B1	1	0.07022472
P-A1-Q-A2	1	0.07022472
M1-Q-A1-A1	1	0.07022472
M1-A1-Q-A1	1	0.07022472
L1-Q-S1-S2	1	0.07022472
L1-Q-A1-S1	1	0.07022472
L1-Q-A1-P	1	0.07022472
L1-Q-A1-B1	1	0.07022472
L1-M1-Q-Q	1	0.07022472
L1-G1-Q-A1	1	0.07022472
L1-A1-Q-G1	1	0.07022472
L1-A1-Q-B1	1	0.07022472
L1-A1-G1-Q	1	0.07022472
L1-A1-A2-Q	1	0.07022472
G1-S1-Q-S2	1	0.07022472
G1-S1-Q-Q	1	0.07022472
G1-S1-G2-Q	1	0.07022472
G1-S1-A1-Q	1	0.07022472
G1-Q-S1-P	1	0.07022472
G1-Q-S1-B1	1	0.07022472
G1-Q-Q-G1	1	0.07022472
G1-Q-G2-A1	1	0.07022472
G1-M1-Q-P	1	0.07022472
G1-M1-Q-M1	1	0.07022472
G1-M1-Q-A1	1	0.07022472
G1-L1-S1-Q	1	0.07022472
G1-L1-A1-Q	1	0.07022472
