Turns	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9
1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	22	3	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	4	18	3	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	2	16	7	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	8	14	2	1	0	0	0	0	0	0	0
7	0	0	0	0	0	1	1	9	9	3	2	0	0	0	0	0	0	0
8	0	0	0	0	0	2	0	7	6	7	3	0	0	0	0	0	0	0
9	0	0	0	0	0	0	2	9	6	2	6	0	0	0	0	0	0	0
10	0	0	0	0	0	0	3	5	9	7	1	0	0	0	0	0	0	0
11	0	0	0	0	0	0	1	7	8	7	1	0	1	0	0	0	0	0
12	0	0	0	0	0	1	4	6	5	5	3	1	0	0	0	0	0	0
13	0	0	0	0	0	1	6	5	4	5	3	1	0	0	0	0	0	0
14	0	0	0	0	1	2	2	7	4	7	1	1	0	0	0	0	0	0
15	0	0	0	1	0	2	2	3	8	5	2	2	0	0	0	0	0	0
16	0	0	0	1	2	1	1	5	4	4	4	2	1	0	0	0	0	0
17	0	0	0	0	3	0	2	5	4	5	3	3	0	0	0	0	0	0
18	0	0	0	0	0	1	3	6	6	3	5	0	1	0	0	0	0	0
19	0	0	0	0	0	2	4	4	5	1	4	5	0	0	0	0	0	0
20	0	0	0	1	1	3	1	2	4	4	3	3	2	0	1	0	0	0
21	0	0	1	1	0	2	2	4	3	4	1	6	1	0	0	0	0	0
22	0	1	1	0	0	1	4	5	4	2	2	2	0	3	0	0	0	0
23	1	0	0	2	0	0	4	3	3	2	4	2	1	2	0	1	0	0
24	1	0	0	0	1	1	4	5	2	2	4	0	2	1	1	0	0	1
25	0	1	0	1	1	4	4	1	4	1	3	1	2	1	1	0	0	0
