Opening	Count	%
G1-A1-Q-A1	184	26.861315
G1-Q-A1-A1	81	11.824818
G1-Q-S1-S1	55	8.029197
L1-A1-Q-A1	36	5.2554746
G1-Q-A1-A2	28	4.087591
B1-A1-Q-A1	24	3.5036497
G1-A1-Q-A2	21	3.0656934
S1-Q-A1-A1	16	2.3357663
G1-Q-A1-S1	16	2.3357663
L1-Q-A1-A1	15	2.189781
G1-A1-Q-S1	15	2.189781
S1-Q-S2-S2	14	2.0437956
S1-A1-Q-A1	14	2.0437956
P-A1-Q-A1	11	1.6058394
B1-Q-A1-A1	10	1.459854
G1-Q-A1-M1	9	1.3138686
G1-Q-S1-A1	8	1.1678832
P-Q-A1-A1	7	1.0218978
L1-Q-S1-S1	7	1.0218978
G1-S1-Q-S1	7	1.0218978
L1-A1-Q-M1	6	0.8759124
G1-Q-S1-S2	6	0.8759124
L1-M1-Q-A1	5	0.729927
L1-A1-Q-S1	5	0.729927
G1-Q-B1-B1	5	0.729927
B1-A1-Q-A2	5	0.729927
S1-Q-A1-S2	4	0.5839416
B1-Q-A1-S1	4	0.5839416
L1-Q-S1-A1	3	0.4379562
S1-Q-G1-G1	2	0.2919708
S1-Q-A1-A2	2	0.2919708
L1-Q-A1-M1	2	0.2919708
L1-Q-A1-G1	2	0.2919708
L1-A1-Q-P	2	0.2919708
L1-A1-Q-A2	2	0.2919708
G1-Q-S1-M1	2	0.2919708
G1-Q-G2-G2	2	0.2919708
G1-G2-A1-Q	2	0.2919708
G1-A1-Q-P	2	0.2919708
G1-A1-Q-M1	2	0.2919708
G1-A1-Q-B1	2	0.2919708
B1-A1-Q-S1	2	0.2919708
B1-A1-Q-M1	2	0.2919708
S1-Q-S2-A1	1	0.1459854
S1-Q-B1-B1	1	0.1459854
S1-G1-Q-S2	1	0.1459854
S1-G1-Q-A1	1	0.1459854
S1-G1-M1-Q	1	0.1459854
S1-G1-A1-Q	1	0.1459854
S1-B1-Q-B1	1	0.1459854
S1-A1-Q-G1	1	0.1459854
S1-A1-Q-B1	1	0.1459854
Q-B1-B1-Q	1	0.1459854
Q-A1-S1-M1	1	0.1459854
Q-A1-A2-A2	1	0.1459854
Q-A1-A1-S1	1	0.1459854
P-Q-S1-A1	1	0.1459854
P-A1-Q-A2	1	0.1459854
M1-Q-S1-S1	1	0.1459854
M1-Q-A1-A1	1	0.1459854
L1-Q-S1-M1	1	0.1459854
L1-Q-M1-A1	1	0.1459854
L1-Q-G1-G1	1	0.1459854
L1-Q-B1-B1	1	0.1459854
L1-Q-A1-S1	1	0.1459854
L1-Q-A1-P	1	0.1459854
L1-Q-A1-B1	1	0.1459854
L1-M1-Q-Q	1	0.1459854
L1-A1-M1-Q	1	0.1459854
L1-A1-G1-Q	1	0.1459854
G1-S1-Q-A1	1	0.1459854
G1-Q-M1-A1	1	0.1459854
G1-Q-A1-P	1	0.1459854
G1-M1-A1-Q	1	0.1459854
G1-A1-S1-Q	1	0.1459854
G1-A1-Q-G2	1	0.1459854
G1-A1-M1-Q	1	0.1459854
B1-Q-S1-S1	1	0.1459854
B1-Q-S1-A1	1	0.1459854
Total	685
