Opening	Count	%
G1-Q-A1-A1	973	9.47143
G1-Q-S1-S1	718	6.989195
G1-Q-S1-A1	582	5.665336
G1-Q-A1-A2	433	4.2149324
S1-Q-A1-A1	364	3.5432687
S1-A1-Q-A1	218	2.1220675
B1-Q-A1-A1	212	2.063662
G1-G2-Q-A1	206	2.0052564
G1-Q-G2-A1	188	1.8300399
G1-Q-A1-S1	169	1.645089
L1-M1-Q-A1	154	1.4990753
G1-A1-Q-A1	153	1.489341
B1-Q-S1-S1	142	1.3822641
S1-Q-S2-S2	140	1.3627957
B1-Q-S1-A1	125	1.2167819
L1-Q-A1-A1	110	1.070768
G1-Q-S1-S2	103	1.0026282
G1-Q-A1-G2	96	0.9344885
G1-Q-S1-G2	90	0.87608296
S1-Q-A1-A2	89	0.8663487
G1-A1-Q-A2	86	0.8371459
G1-Q-G2-S1	83	0.80794317
G1-G2-Q-S1	82	0.7982089
S1-S2-Q-A1	74	0.7203349
B1-Q-A1-A2	74	0.7203349
L1-Q-M1-A1	73	0.7106006
S1-S2-Q-S2	71	0.69113207
G1-S1-Q-S1	71	0.69113207
B1-G1-Q-A1	70	0.68139786
G1-S1-Q-A1	67	0.6521951
S1-Q-S2-A1	63	0.61325806
S1-A1-Q-A2	61	0.5937895
B1-A1-Q-A1	58	0.56458676
S1-S2-A1-Q	55	0.535384
S1-G1-Q-A1	55	0.535384
Q-A1-A1-B1	47	0.45750996
S1-Q-G1-G1	46	0.44777572
S1-G1-Q-G1	45	0.43804148
S1-A1-A2-Q	45	0.43804148
B1-Q-G1-G1	45	0.43804148
S1-G1-A1-Q	44	0.4283072
S1-B1-Q-A1	44	0.4283072
S1-B1-A1-Q	44	0.4283072
G1-Q-G2-G2	44	0.4283072
L1-Q-A1-M1	43	0.41857296
G1-G2-Q-G2	42	0.4088387
G1-S1-A1-Q	41	0.39910445
B1-Q-G1-A1	41	0.39910445
Q-A1-A1-A2	39	0.37963593
G1-Q-A1-M1	39	0.37963593
B1-G1-A1-Q	39	0.37963593
S1-A1-G1-Q	38	0.3699017
B1-S1-Q-S1	38	0.3699017
S1-S2-B1-Q	37	0.36016744
G1-B1-Q-A1	37	0.36016744
G1-A1-Q-S1	37	0.36016744
B1-S1-A1-Q	37	0.36016744
L1-Q-S1-S1	36	0.35043317
B1-A1-Q-A2	36	0.35043317
S1-G1-B1-Q	35	0.34069893
L1-Q-A1-A2	35	0.34069893
S1-S2-G1-Q	34	0.33096465
G1-Q-A1-Q	33	0.3212304
Q-A1-A1-S1	32	0.31149617
G1-Q-S1-B1	32	0.31149617
G1-Q-B1-B1	31	0.3017619
G1-Q-A1-B1	31	0.3017619
G1-A1-A2-Q	31	0.3017619
B1-Q-S1-S2	31	0.3017619
B1-Q-A1-S1	31	0.3017619
S1-Q-B1-B1	30	0.29202765
Q-A1-A2-A2	29	0.28229338
B1-S1-Q-A1	29	0.28229338
B1-Q-G1-S1	29	0.28229338
L1-M1-Q-S1	28	0.27255914
G1-S1-S2-Q	27	0.2628249
S1-L1-M1-Q	26	0.25309062
S1-A1-Q-G1	26	0.25309062
L1-Q-S1-A1	25	0.24335638
G1-A1-S1-Q	25	0.24335638
B1-G1-S1-Q	25	0.24335638
S1-Q-A1-S2	24	0.23362212
S1-B1-G1-Q	24	0.23362212
B1-G1-Q-G1	24	0.23362212
S1-B1-Q-B1	23	0.22388786
Q-S1-S1-S2	23	0.22388786
G1-S1-Q-G2	23	0.22388786
G1-Q-B1-A1	23	0.22388786
B1-S1-S2-Q	23	0.22388786
S1-A1-B1-Q	22	0.2141536
