turn	all	all-p	all-t	p-hive	p-hive-l	p-hive-lm	p-hive-m	p-hive-p	p-hive-pl	p-hive-plm	p-hive-pm	t-hive	t-hive-l	t-hive-lm	t-hive-m	t-hive-p	t-hive-pl	t-hive-plm	t-hive-pm
5	4	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	23	23	0	18	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0
7	44	43	1	31	1	4	5	1	0	1	0	0	0	0	0	0	0	1	0
8	63	63	0	41	1	9	10	1	0	1	0	0	0	0	0	0	0	0	0
9	102	98	4	67	1	11	14	1	0	3	1	1	0	0	1	1	0	1	0
10	236	223	13	152	1	28	27	6	0	9	0	1	0	0	11	1	0	0	0
11	442	425	17	273	5	58	74	9	0	4	2	1	0	0	12	4	0	0	0
12	977	953	24	596	9	154	149	19	0	25	1	3	3	1	11	4	1	1	0
13	1388	1337	51	864	20	194	184	42	0	31	2	14	5	1	17	10	0	1	3
14	1775	1719	56	1061	23	303	246	49	1	33	3	15	6	3	15	10	0	6	1
15	1881	1821	60	1155	23	309	231	63	0	36	4	15	5	3	24	11	1	1	0
16	1741	1666	75	1074	20	273	209	56	1	31	2	29	11	3	18	8	2	2	2
17	1688	1608	80	1094	18	230	173	58	1	34	0	31	7	5	18	12	2	4	1
18	1552	1498	54	944	15	256	182	56	2	39	4	12	5	4	11	14	0	6	2
19	1312	1259	53	834	24	181	140	36	0	44	0	16	4	1	13	13	1	3	2
20	1179	1131	48	784	17	150	105	47	0	25	3	12	5	2	7	15	1	4	2
21	1025	977	48	657	17	140	109	35	2	17	0	19	3	1	9	10	1	4	1
22	864	820	44	551	5	111	92	31	0	27	3	16	4	1	5	14	0	2	2
23	756	727	29	510	7	96	68	30	0	14	2	12	2	0	10	3	0	2	0
24	662	634	28	450	5	70	57	29	1	19	3	14	1	1	2	5	1	3	1
25	561	518	43	344	6	63	59	26	0	17	3	11	3	3	7	13	0	6	0
26	516	482	34	326	6	52	56	29	1	11	1	11	0	3	4	13	0	3	0
27	373	355	18	226	3	51	41	22	1	11	0	8	0	1	1	8	0	0	0
28	344	329	15	220	6	45	30	19	0	6	3	5	0	1	2	5	0	2	0
29	298	281	17	161	4	48	39	17	1	11	0	7	1	0	2	6	1	0	0
30	250	233	17	148	1	36	16	16	0	15	1	5	0	0	1	10	0	1	0
31	207	195	12	127	1	22	21	16	0	6	2	5	0	0	2	4	0	1	0
32	143	134	9	83	1	12	21	11	0	4	2	3	0	0	3	1	0	2	0
33	143	140	3	81	1	23	22	9	0	3	1	2	0	0	1	0	0	0	0
34	113	106	7	68	4	13	8	9	0	4	0	4	0	0	1	2	0	0	0
35	96	88	8	58	1	11	8	8	0	2	0	2	0	1	1	3	0	1	0
36	80	71	9	52	1	7	6	2	0	1	2	3	0	0	1	5	0	0	0
37	72	66	6	36	2	11	6	5	0	6	0	1	1	0	0	4	0	0	0
38	72	66	6	42	1	7	7	4	0	3	2	2	0	0	1	3	0	0	0
39	43	36	7	29	1	2	3	0	0	1	0	1	0	0	1	5	0	0	0
40	50	46	4	31	0	5	2	6	0	2	0	3	0	0	1	0	0	0	0
41	35	31	4	16	0	3	4	8	0	0	0	3	1	0	0	0	0	0	0
42	38	35	3	19	0	5	3	5	0	2	1	2	0	0	0	1	0	0	0
43	43	40	3	24	1	6	1	4	0	3	1	0	0	0	0	2	0	1	0
44	29	25	4	17	0	2	1	3	0	2	0	1	0	0	0	3	0	0	0
45	24	22	2	17	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0
46	20	17	3	10	0	1	4	2	0	0	0	1	0	0	1	0	0	1	0
47	21	21	0	9	0	2	5	3	0	2	0	0	0	0	0	0	0	0	0
48	15	13	2	8	0	0	2	2	0	0	1	1	0	0	0	1	0	0	0
49	12	10	2	4	0	1	3	2	0	0	0	1	0	0	1	0	0	0	0
50	17	16	1	7	1	0	5	3	0	0	0	0	0	0	0	1	0	0	0
51	15	15	0	9	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0
52	7	7	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
53	9	8	1	2	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0
54	8	8	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
55	3	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
56	7	7	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
57	4	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
58	5	5	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
59	5	4	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
60	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
61	7	7	0	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
62	3	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
63	5	5	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
64	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
65	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	6	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
