Turns	0	1	2	3	4	5	6
1	536	8	0	0	0	0	0
2	434	102	8	0	0	0	0
3	134	280	126	4	0	0	0
4	28	221	207	81	7	0	0
5	0	149	247	128	17	3	0
6	0	118	249	144	29	4	0
7	0	97	234	160	50	3	0
8	0	91	191	200	51	11	0
9	0	88	172	187	82	15	0
10	0	85	168	175	102	14	0
11	0	79	169	157	117	22	0
12	0	83	134	168	127	32	0
13	0	79	133	167	128	37	0
14	0	77	135	174	114	44	0
15	0	75	130	158	120	61	0
16	0	73	124	155	124	68	0
17	0	77	106	155	137	69	0
18	0	73	119	153	130	69	0
19	0	75	100	165	133	71	0
20	0	70	111	156	141	66	0
21	0	64	109	178	128	65	0
22	0	57	119	166	124	78	0
23	0	54	115	168	138	69	0
24	0	62	97	148	149	88	0
25	0	62	85	135	143	119	0
