Turns	Winner	Looser
1	0.007352941	0.014705882
2	0.23161764	0.21691176
3	1.0147059	1.0
4	1.5955882	1.6654412
5	2.0349264	2.0404413
6	2.1341913	2.1764705
7	2.2077205	2.3161764
8	2.3823528	2.4485295
9	2.5202205	2.5661764
10	2.5643382	2.6176472
11	2.6305146	2.6948528
12	2.7150736	2.7996323
13	2.7757354	2.8363972
14	2.8216913	2.8400736
15	2.9577205	2.9301472
16	2.9613972	2.9816177
17	3.0588236	3.0275736
18	3.1525736	3.0055146
19	3.2720587	3.045956
20	3.422794	3.0404413
21	3.5863972	3.0386028
22	3.8308823	3.0863972
23	4.209559	3.0974264
24	4.8290443	3.1911764
25	5.8584557	3.3161764
