Turns	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8
1	0	0	0	0	0	0	959	0	0	0	0	0	0	0	0
2	0	0	0	0	0	16	926	17	0	0	0	0	0	0	0
3	0	0	0	0	0	9	927	23	0	0	0	0	0	0	0
4	0	0	0	0	1	133	653	172	0	0	0	0	0	0	0
5	0	0	0	0	17	127	522	262	31	0	0	0	0	0	0
6	0	0	0	9	32	214	374	240	78	12	0	0	0	0	0
7	0	0	0	7	43	205	302	284	96	20	2	0	0	0	0
8	0	0	0	19	78	176	311	242	103	28	2	0	0	0	0
9	0	0	0	21	81	176	264	253	127	32	5	0	0	0	0
10	0	0	6	15	96	185	251	223	125	44	14	0	0	0	0
11	0	0	6	28	96	183	241	215	127	54	8	1	0	0	0
12	0	0	10	34	89	173	230	215	138	58	11	0	1	0	0
13	0	1	8	45	98	188	203	196	134	57	23	5	1	0	0
14	0	4	13	21	107	181	206	182	133	79	22	10	1	0	0
15	1	0	5	33	89	156	197	197	154	80	32	9	5	0	1
