Turns	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9
1	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	7	219	5	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	2	223	6	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	26	158	45	2	0	0	0	0	0	0	0
5	0	0	0	0	0	0	3	21	131	64	12	0	0	0	0	0	0	0
6	0	0	0	0	0	0	4	48	104	52	22	1	0	0	0	0	0	0
7	0	0	0	0	0	2	9	49	81	58	23	9	0	0	0	0	0	0
8	0	0	0	0	0	3	8	47	75	55	29	10	3	1	0	0	0	0
9	0	0	0	0	0	3	17	48	71	39	40	11	2	0	0	0	0	0
10	0	0	0	0	1	3	22	42	70	49	19	20	4	1	0	0	0	0
11	0	0	0	0	2	6	23	37	53	54	31	17	7	1	0	0	0	0
12	0	0	0	0	1	14	26	28	53	42	43	18	5	1	0	0	0	0
13	0	0	0	1	2	12	28	28	42	49	40	22	5	2	0	0	0	0
14	0	0	0	3	7	15	19	31	35	52	31	23	9	5	1	0	0	0
15	0	0	0	4	7	10	19	31	41	48	34	25	9	3	0	0	0	0
16	0	0	0	2	13	8	13	35	43	47	31	23	10	5	1	0	0	0
17	0	1	0	1	11	8	25	30	42	39	33	24	12	5	0	0	0	0
18	0	0	0	5	3	14	23	33	38	36	34	26	10	8	1	0	0	0
19	0	1	2	1	7	11	24	41	24	32	32	33	13	6	3	1	0	0
20	0	0	2	4	7	16	15	30	31	28	33	27	21	10	7	0	0	0
21	0	0	4	4	6	12	16	20	31	36	29	37	17	12	7	0	0	0
22	0	1	3	3	5	13	20	24	36	21	29	33	19	14	7	3	0	0
23	1	1	2	3	6	10	17	23	28	26	35	21	21	22	5	8	2	0
24	1	0	1	1	8	18	21	29	22	16	25	17	22	20	17	8	3	2
25	0	2	1	2	8	19	21	19	24	20	26	19	16	16	14	10	10	4
