Opening	Count	%
G1-A1-Q-A1	1000	9.824148
G1-Q-A1-A1	716	7.0340896
S1-Q-A1-A1	652	6.4053445
S1-A1-Q-A1	517	5.0790844
G1-Q-S1-S1	517	5.0790844
S1-Q-S2-S2	312	3.065134
G1-Q-A1-A2	271	2.662344
S1-Q-A1-A2	190	1.8665881
G1-A1-Q-A2	187	1.8371156
G1-A1-Q-S1	155	1.5227429
B1-Q-A1-A1	155	1.5227429
B1-A1-Q-A1	144	1.4146773
S1-S2-Q-S2	127	1.2476667
L1-A1-Q-A1	122	1.198546
G1-Q-S1-A1	118	1.1592494
S1-A1-Q-A2	114	1.1199528
G1-Q-A1-S1	106	1.0413597
S1-G1-Q-A1	100	0.9824148
S1-S2-Q-A1	98	0.96276647
G1-S1-Q-S1	97	0.9529423
S1-A1-A2-Q	94	0.9234699
S1-B1-Q-A1	85	0.83505255
L1-Q-A1-A1	78	0.7662835
S1-S2-A1-Q	76	0.74663526
S1-Q-S2-A1	73	0.7171628
S1-G1-A1-Q	71	0.6975145
S1-B1-A1-Q	69	0.6778662
S1-Q-A1-S2	67	0.6582179
S1-B1-Q-B1	62	0.6090972
G1-Q-S1-S2	62	0.6090972
S1-G1-Q-G1	59	0.5796247
B1-Q-S1-S1	59	0.5796247
G1-S1-S2-Q	56	0.5501523
G1-S1-Q-A1	54	0.530504
S1-S2-B1-Q	49	0.48138323
S1-A1-Q-G1	48	0.47155908
G1-S1-A1-Q	48	0.47155908
S1-Q-G1-G1	47	0.46173495
S1-S2-G1-Q	45	0.44208664
Q-A1-A2-A2	44	0.4322625
L1-M1-Q-A1	41	0.40279007
G1-Q-A1-M1	40	0.3929659
G1-A1-S1-Q	40	0.3929659
S1-G1-B1-Q	39	0.38314176
S1-A1-G1-Q	39	0.38314176
B1-S1-Q-S1	39	0.38314176
Q-A1-A1-B1	38	0.37331763
G1-Q-A1-G2	38	0.37331763
B1-S1-A1-Q	37	0.36349347
S1-Q-B1-B1	36	0.35366932
S1-B1-G1-Q	36	0.35366932
B1-S1-S2-Q	36	0.35366932
P-Q-A1-A1	35	0.34384516
B1-S1-Q-A1	35	0.34384516
S1-Q-A1-G1	34	0.33402103
G1-Q-B1-B1	34	0.33402103
G1-A1-A2-Q	34	0.33402103
B1-G1-Q-A1	33	0.32419688
S1-A1-S2-Q	32	0.31437272
B1-S1-G1-Q	32	0.31437272
B1-Q-A1-A2	32	0.31437272
S1-G1-Q-S2	31	0.3045486
Q-A1-A2-A1	31	0.3045486
G1-Q-G2-G2	31	0.3045486
G1-B1-Q-A1	31	0.3045486
S1-G1-S2-Q	30	0.29472443
P-A1-Q-A1	30	0.29472443
S1-A1-Q-S2	29	0.28490028
G1-G2-Q-A1	29	0.28490028
S1-Q-B1-A1	28	0.27507615
B1-A1-Q-A2	28	0.27507615
S1-S2-Q-G1	27	0.265252
G1-B1-Q-S1	26	0.25542784
S1-A1-B1-Q	25	0.2456037
B1-Q-Q-B1	25	0.2456037
B1-G1-A1-Q	25	0.2456037
S1-Q-Q-S1	23	0.2259554
S1-B1-Q-S2	23	0.2259554
L1-Q-S1-S1	23	0.2259554
S1-Q-A1-B1	22	0.21613126
S1-B1-S2-Q	22	0.21613126
Q-S1-S2-S1	22	0.21613126
G1-B1-A1-Q	22	0.21613126
Q-A1-A1-A2	21	0.2063071
G1-B1-Q-B1	21	0.2063071
S1-Q-G1-A1	20	0.19648296
S1-B1-B2-Q	20	0.19648296
Q-S1-S2-S2	20	0.19648296
Q-B1-B1-B1	20	0.19648296
L1-A1-Q-M1	20	0.19648296
Q-A1-A2-A3	19	0.18665881
G1-Q-S1-G2	19	0.18665881
B1-Q-G1-G1	19	0.18665881
B1-G1-S1-Q	19	0.18665881
B1-A1-A2-Q	19	0.18665881
S1-B1-Q-G1	18	0.17683466
B1-Q-A1-S1	18	0.17683466
Q-S1-A1-A1	17	0.16701052
G1-S1-Q-S2	17	0.16701052
G1-Q-A1-B1	17	0.16701052
B1-G1-Q-G1	17	0.16701052
L1-Q-A1-A2	16	0.15718636
S1-Q-S2-G1	15	0.14736222
G1-S1-G2-Q	15	0.14736222
G1-S1-B1-Q	15	0.14736222
G1-Q-G2-A1	15	0.14736222
G1-G2-Q-G2	15	0.14736222
G1-G2-A1-Q	15	0.14736222
G1-A1-Q-B1	15	0.14736222
G1-A1-B1-Q	15	0.14736222
S1-Q-A1-Q	14	0.13753808
S1-G1-Q-B1	14	0.13753808
G1-G2-Q-S1	14	0.13753808
B1-S1-Q-G1	14	0.13753808
B1-A1-G1-Q	14	0.13753808
S1-G1-Q-G2	13	0.12771392
Q-S1-A1-S1	13	0.12771392
G1-Q-A1-Q	13	0.12771392
S1-A1-Q-B1	12	0.11788977
Q-S1-S1-A1	12	0.11788977
Q-A1-S1-S1	12	0.11788977
P-Q-S1-S1	12	0.11788977
L1-Q-A1-M1	12	0.11788977
A1-G1-A2-Q	12	0.11788977
Q-S1-S1-B1	11	0.10806563
G1-B1-S1-Q	11	0.10806563
G1-A1-Q-Q	11	0.10806563
B1-S1-Q-S2	11	0.10806563
A1-G1-S1-Q	11	0.10806563
A1-B1-G1-Q	11	0.10806563
S1-G1-G2-Q	10	0.09824148
S1-A1-Q-Q	10	0.09824148
Q-S1-S1-S2	10	0.09824148
Q-A1-A1-S1	10	0.09824148
L1-A1-Q-S1	10	0.09824148
G1-Q-S1-B1	10	0.09824148
G1-A1-G2-Q	10	0.09824148
B1-A1-S1-Q	10	0.09824148
S1-S2-Q-B1	9	0.08841733
L1-Q-B1-B1	9	0.08841733
L1-A1-Q-A2	9	0.08841733
G1-S1-Q-G2	9	0.08841733
G1-Q-S1-Q	9	0.08841733
G1-Q-B1-A1	9	0.08841733
G1-B1-G2-Q	9	0.08841733
G1-A1-Q-G2	9	0.08841733
B1-M1-Q-A1	9	0.08841733
B1-A1-Q-S1	9	0.08841733
A1-S1-Q-S1	9	0.08841733
A1-S1-G1-Q	9	0.08841733
A1-G1-B1-Q	9	0.08841733
A1-A2-G1-Q	9	0.08841733
G1-S1-Q-B1	8	0.07859318
G1-Q-A1-P	8	0.07859318
G1-G2-S1-Q	8	0.07859318
G1-G2-Q-B1	8	0.07859318
G1-A1-Q-M1	8	0.07859318
B1-Q-S1-A1	8	0.07859318
B1-G1-Q-S1	8	0.07859318
B1-B2-Q-A1	8	0.07859318
B1-B2-A1-Q	8	0.07859318
A1-S1-B1-Q	8	0.07859318
A1-G1-Q-G1	8	0.07859318
A1-G1-Q-B1	8	0.07859318
S1-Q-B1-B2	7	0.06876904
Q-S1-S2-A1	7	0.06876904
Q-A1-M1-M1	7	0.06876904
G1-Q-G2-S1	7	0.06876904
G1-G2-B1-Q	7	0.06876904
G1-B1-B2-Q	7	0.06876904
G1-A1-Q-P	7	0.06876904
B1-Q-G1-S1	7	0.06876904
B1-Q-A1-M1	7	0.06876904
B1-G1-G2-Q	7	0.06876904
B1-B2-Q-B2	7	0.06876904
B1-B2-G1-Q	7	0.06876904
B1-A1-Q-G1	7	0.06876904
A1-Q-A2-A2	7	0.06876904
S1-Q-S2-Q	6	0.058944885
S1-Q-S2-B1	6	0.058944885
S1-Q-Q-A1	6	0.058944885
S1-B1-Q-B2	6	0.058944885
Q-G1-A1-A1	6	0.058944885
Q-A1-A1-G1	6	0.058944885
P-Q-B1-B1	6	0.058944885
P-Q-A1-A2	6	0.058944885
L1-Q-S1-A1	6	0.058944885
G1-G2-G3-Q	6	0.058944885
B1-S1-B2-Q	6	0.058944885
B1-Q-S1-S2	6	0.058944885
B1-Q-Q-A1	6	0.058944885
B1-B2-Q-G1	6	0.058944885
A1-Q-S1-S1	6	0.058944885
A1-G1-Q-S1	6	0.058944885
A1-B1-Q-G1	6	0.058944885
S1-Q-G1-S2	5	0.04912074
S1-Q-G1-G2	5	0.04912074
S1-Q-B1-G1	5	0.04912074
S1-Q-A1-M1	5	0.04912074
S1-G1-M1-Q	5	0.04912074
Q-B1-B1-S1	5	0.04912074
Q-A1-S1-A1	5	0.04912074
Q-A1-B1-A1	5	0.04912074
Q-A1-A1-M1	5	0.04912074
Q-A1-A1-A1	5	0.04912074
L1-M1-Q-S1	5	0.04912074
G1-Q-P-S1	5	0.04912074
G1-A1-M1-Q	5	0.04912074
B1-Q-A1-B2	5	0.04912074
B1-A1-Q-M1	5	0.04912074
B1-A1-B2-Q	5	0.04912074
A1-S1-S2-Q	5	0.04912074
A1-Q-G1-G1	5	0.04912074
S1-S2-M1-Q	4	0.03929659
S1-Q-P-A1	4	0.03929659
S1-Q-B1-S2	4	0.03929659
S1-B1-Q-Q	4	0.03929659
S1-A1-Q-M1	4	0.03929659
S1-A1-M1-Q	4	0.03929659
Q-G1-G1-G2	4	0.03929659
Q-G1-G1-B1	4	0.03929659
Q-G1-A1-G1	4	0.03929659
Q-B1-A1-A1	4	0.03929659
Q-A1-A1-Q	4	0.03929659
P-A1-Q-S1	4	0.03929659
M1-Q-B1-B1	4	0.03929659
M1-Q-A1-A1	4	0.03929659
L1-A1-M1-Q	4	0.03929659
G1-Q-B1-S1	4	0.03929659
G1-M1-A1-Q	4	0.03929659
G1-B1-Q-G2	4	0.03929659
B1-S1-Q-Q	4	0.03929659
B1-Q-M1-A1	4	0.03929659
B1-Q-G1-A1	4	0.03929659
B1-Q-B2-B2	4	0.03929659
B1-G1-B2-Q	4	0.03929659
B1-B2-S1-Q	4	0.03929659
A1-S1-Q-A2	4	0.03929659
A1-S1-A2-Q	4	0.03929659
