Turns	0	1	2	3	4	5	6
1	540	4	0	0	0	0	0
2	422	118	4	0	0	0	0
3	179	185	174	5	1	0	0
4	49	228	169	90	8	0	0
5	0	163	227	126	28	0	0
6	0	134	235	146	26	3	0
7	0	108	255	144	34	3	0
8	0	98	203	182	59	2	0
9	0	73	201	192	70	8	0
10	0	74	192	187	79	12	0
11	0	69	191	173	94	17	0
12	0	65	172	181	105	21	0
13	0	56	169	190	99	30	0
14	0	44	184	174	109	33	0
15	0	39	165	167	126	47	0
16	0	31	171	172	128	42	0
17	0	27	148	185	134	50	0
18	0	20	134	191	141	58	0
19	0	16	112	197	146	73	0
20	0	12	82	198	168	84	0
21	0	5	55	189	206	89	0
22	0	2	17	165	247	113	0
23	0	0	5	47	321	171	0
24	0	0	0	7	79	458	0
25	0	0	0	0	0	77	467
