Turns	Winner	Looser
1	0.0	0.055555556
2	0.25	0.30555555
3	1.25	1.1944444
4	1.9722222	1.7222222
5	2.0555556	2.1388888
6	2.1944444	2.2777777
7	2.1388888	2.4722223
8	2.1388888	2.4722223
9	2.4166667	2.5555556
10	2.5277777	2.5555556
11	2.75	2.6944444
12	2.8333333	2.75
13	2.9722223	2.7222223
14	2.8888888	2.9444444
15	3.0277777	3.1111112
16	3.0833333	3.0555556
17	3.1944444	3.1111112
18	3.3888888	2.9444444
19	3.3888888	3.0833333
20	3.5833333	3.1944444
21	3.6666667	3.1388888
22	4.0277777	2.9722223
23	4.2222223	2.9444444
24	4.888889	3.0277777
25	5.9722223	2.9722223
