Opening	Count	%
S1-Q-A1-A1	4351	3.0308309
S1-Q-A1-A2	3940	2.7445352
G1-Q-A1-A1	3138	2.1858761
S1-A1-Q-A1	2877	2.0040681
G1-Q-A1-A2	2740	1.9086362
G1-A1-Q-A1	2735	1.9051533
S1-S2-Q-A1	2302	1.603533
S1-A1-Q-A2	2106	1.4670029
S1-Q-S2-S2	2091	1.4565542
S1-G1-A1-Q	2024	1.4098831
S1-A1-A2-Q	1984	1.3820198
G1-Q-S1-S1	1871	1.303306
S1-S2-A1-Q	1853	1.2907676
G1-A1-Q-A2	1435	0.999596
S1-S2-Q-S2	1372	0.9557113
S1-S2-B1-Q	1340	0.93342066
S1-G1-Q-A1	1275	0.88814276
S1-G1-B1-Q	1218	0.84843755
S1-S2-G1-Q	1192	0.83032644
G1-A1-A2-Q	1167	0.81291187
S1-B1-A1-Q	1147	0.7989802
S1-B1-Q-A1	1131	0.7878349
S1-A1-B1-Q	1118	0.7787793
S1-A1-Q-B1	1087	0.7571852
G1-S1-A1-Q	1040	0.7244459
S1-Q-S2-A1	1032	0.7188732
G1-A1-B1-Q	1032	0.7188732
G1-A1-Q-B1	1011	0.704245
A1-G1-B1-Q	1010	0.7035484
G1-S1-S2-Q	961	0.66941583
S1-B1-B2-Q	959	0.6680227
G1-S1-B1-Q	949	0.6610569
S1-B1-G1-Q	929	0.6471252
B1-Q-A1-A1	885	0.6164756
S1-S2-Q-B1	863	0.60115075
G1-B1-A1-Q	848	0.590702
B1-S1-A1-Q	821	0.5718943
B1-A1-A2-Q	816	0.56841135
A1-A2-Q-B1	799	0.55656946
G1-S1-Q-A1	797	0.5551763
A1-A2-A3-Q	797	0.5551763
S1-A1-G1-Q	791	0.5509968
B1-S1-S2-Q	789	0.54960364
G1-B1-B2-Q	787	0.5482105
A1-B1-B2-Q	785	0.5468173
G1-S1-Q-B1	780	0.5433344
S1-Q-A1-S2	774	0.5391549
A1-A2-B1-Q	751	0.5231335
S1-G1-Q-B1	747	0.5203472
B1-A1-B2-Q	741	0.5161677
G1-S1-Q-S1	726	0.50571895
A1-B1-Q-B2	726	0.50571895
B1-S1-Q-S1	724	0.5043258
S1-B1-S2-Q	723	0.5036292
G1-A1-Q-S1	707	0.49248388
A1-S1-B1-Q	707	0.49248388
S1-A1-S2-Q	698	0.48621464
A1-G1-Q-B1	696	0.48482147
G1-B1-S1-Q	695	0.48412487
G1-Q-A1-S1	688	0.4792488
G1-Q-S1-A1	680	0.47367615
G1-G2-B1-Q	660	0.45974448
S1-B1-Q-B2	659	0.4590479
B1-S1-B2-Q	647	0.45068893
G1-A1-S1-Q	644	0.44859916
S1-G1-Q-G1	643	0.4479026
B1-B2-S1-Q	642	0.44720602
B1-A1-Q-B2	642	0.44720602
B1-S1-G1-Q	638	0.44441968
G1-B1-Q-B2	632	0.44024017
S1-G1-S2-Q	631	0.4395436
B1-G1-A1-Q	627	0.43675727
B1-B2-Q-S1	615	0.42839828
A1-S1-Q-B1	600	0.41794953
G1-G2-Q-B1	597	0.4158598
B1-A1-Q-A1	591	0.4116803
S1-Q-S2-B1	590	0.4109837
A1-G1-S1-Q	586	0.40819737
B1-G1-S1-Q	582	0.40541106
G1-Q-B1-B2	580	0.4040179
S1-Q-B1-B2	575	0.400535
S1-Q-A1-B1	575	0.400535
B1-G1-B2-Q	574	0.3998384
B1-S1-Q-A1	569	0.39635548
G1-G2-A1-Q	552	0.3845136
A1-Q-B1-B2	541	0.37685117
B1-S1-Q-B2	528	0.3677956
G1-Q-S1-B1	526	0.36640242
A1-B1-A2-Q	526	0.36640242
A1-G1-A2-Q	520	0.36222294
G1-Q-S1-S2	502	0.34968445
S1-A1-Q-G1	499	0.3475947
B1-G1-Q-B2	498	0.3468981
S1-Q-G1-G1	491	0.34202203
G1-B1-Q-A1	484	0.33714595
B1-B2-G1-Q	481	0.33505622
S1-G1-G2-Q	480	0.33435965
B1-Q-S1-S1	471	0.3280904
A1-S1-A2-Q	466	0.32460746
A1-Q-S1-B1	461	0.32112455
B1-Q-A1-A2	459	0.31973138
G1-Q-A1-B1	454	0.31624848
A1-S1-G1-Q	450	0.31346217
B1-Q-B2-S1	448	0.312069
S1-B1-Q-B1	445	0.30997923
A1-B1-S1-Q	438	0.30510315
A1-B1-G1-Q	431	0.30022708
S1-Q-A1-G1	429	0.2988339
G1-S1-G2-Q	422	0.29395783
B1-A1-G1-Q	418	0.29117152
B1-A1-S1-Q	409	0.28490227
Q-A1-A2-A3	393	0.27375695
A1-A2-G1-Q	391	0.27236378
S1-S2-Q-G1	387	0.26957744
G1-A1-G2-Q	382	0.26609454
A1-G1-G2-Q	375	0.26121846
Q-A1-A2-A2	373	0.2598253
G1-Q-G2-B1	372	0.25912872
A1-S1-S2-Q	367	0.2556458
S1-Q-G1-B1	365	0.25425264
G1-G2-S1-Q	364	0.25355604
A1-Q-G1-B1	347	0.24171415
G1-B1-G2-Q	338	0.2354449
B1-Q-S1-B2	338	0.2354449
B1-G1-Q-A1	331	0.23056883
S1-A1-Q-S2	330	0.22987224
Q-A1-A1-B1	330	0.22987224
G1-G2-G3-Q	328	0.22847909
B1-B2-A1-Q	325	0.22638933
S1-B1-Q-G1	324	0.22569275
A1-Q-A2-B1	296	0.20618844
Q-A1-A2-A1	291	0.20270553
B1-Q-G1-B2	282	0.19643629
M1-A1-Q-B1	275	0.19156021
B1-G1-G2-Q	274	0.19086362
A1-A2-S1-Q	274	0.19086362
S1-Q-G1-A1	273	0.19016704
G1-Q-A1-M1	270	0.18807729
Q-S1-S2-A1	265	0.18459438
S1-Q-B1-B1	254	0.17693198
Q-S1-S2-S2	254	0.17693198
L1-A1-Q-A1	253	0.1762354
B1-A1-Q-A2	251	0.17484222
G1-Q-A1-G2	240	0.16717982
L1-Q-A1-A1	239	0.16648324
G1-B1-Q-S1	239	0.16648324
S1-B1-Q-S2	238	0.16578665
Q-S1-S1-S2	236	0.16439348
S1-Q-A1-M1	233	0.16230373
G1-S1-Q-S2	228	0.15882082
Q-S1-S2-S1	227	0.15812424
G1-G2-Q-A1	227	0.15812424
M1-B1-B2-Q	224	0.1560345
S1-Q-B1-A1	214	0.14906867
B1-G1-Q-G1	214	0.14906867
S1-A1-Q-M1	211	0.14697891
S1-G1-Q-S2	209	0.14558576
M1-A1-B1-Q	207	0.14419259
Q-A1-A1-A2	199	0.13861993
M1-B1-Q-B2	195	0.1358336
B1-Q-A1-B2	191	0.13304727
B1-S1-Q-G1	190	0.13235068
M1-S1-Q-B1	189	0.1316541
G1-B1-Q-B1	185	0.12886778
M1-A1-A2-Q	181	0.12608145
B1-Q-Q-B1	180	0.12538487
G1-Q-G2-G2	178	0.1239917
L1-Q-A1-A2	173	0.12050878
B1-G1-Q-S1	173	0.12050878
S1-Q-S2-G1	172	0.1198122
S1-M1-B1-Q	166	0.115632705
M1-G1-B1-Q	166	0.115632705
S1-A1-M1-Q	165	0.11493612
M1-S1-B1-Q	162	0.112846375
M1-G1-Q-B1	162	0.112846375
G1-M1-Q-B1	160	0.11145321
B1-S1-Q-S2	158	0.11006004
B1-Q-S1-A1	158	0.11006004
B1-Q-A1-S1	157	0.10936347
S1-M1-Q-B1	150	0.10448738
S1-G1-Q-G2	150	0.10448738
B1-Q-G1-G1	148	0.10309422
A1-M1-B1-Q	145	0.101004474
G1-M1-B1-Q	138	0.0961284
