Turns	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9
1	0	0	0	0	0	0	5233	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	91	4900	242	0	0	0	0	0	0	0	0
3	0	0	0	0	0	69	4963	201	0	0	0	0	0	0	0	0
4	0	0	0	0	29	938	2424	1797	45	0	0	0	0	0	0	0
5	0	0	0	2	189	878	1899	1733	531	1	0	0	0	0	0	0
6	0	0	0	22	171	1026	1821	1505	651	36	1	0	0	0	0	0
7	0	0	3	36	308	1065	1675	1409	607	110	20	0	0	0	0	0
8	0	0	7	97	455	1049	1553	1220	617	206	29	0	0	0	0	0
9	0	0	29	153	529	987	1398	1159	667	264	44	3	0	0	0	0
10	0	3	39	194	562	929	1263	1141	730	276	80	13	3	0	0	0
11	0	6	46	197	548	982	1256	1040	698	328	105	21	5	0	1	0
12	1	5	55	207	562	951	1177	1060	699	351	116	37	8	3	0	1
13	4	13	46	219	562	967	1100	1045	709	337	162	42	21	4	0	2
14	3	22	67	217	570	966	1132	1005	642	364	144	60	25	10	4	2
15	5	12	82	304	574	929	1071	951	684	371	154	50	27	10	8	1
