Turns	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8
1	0	0	0	0	0	16	0	0	0	0	0	0	0	0
2	0	0	0	0	3	12	1	0	0	0	0	0	0	0
3	0	0	0	0	1	13	2	0	0	0	0	0	0	0
4	0	0	0	0	2	11	3	0	0	0	0	0	0	0
5	0	0	0	1	1	10	3	1	0	0	0	0	0	0
6	0	0	0	0	4	8	3	1	0	0	0	0	0	0
7	0	0	0	1	2	5	4	3	1	0	0	0	0	0
8	0	0	0	0	1	8	5	1	1	0	0	0	0	0
9	0	0	0	0	1	8	3	4	0	0	0	0	0	0
10	0	0	0	2	4	4	5	1	0	0	0	0	0	0
11	0	0	0	0	2	6	8	0	0	0	0	0	0	0
12	0	0	0	3	3	5	3	2	0	0	0	0	0	0
13	0	0	1	4	3	4	2	2	0	0	0	0	0	0
14	0	1	2	2	4	2	3	2	0	0	0	0	0	0
15	0	0	2	4	4	1	2	3	0	0	0	0	0	0
16	0	2	0	1	5	4	2	0	0	1	1	0	0	0
17	0	2	0	1	4	4	1	1	1	2	0	0	0	0
18	0	0	2	3	4	1	0	3	3	0	0	0	0	0
19	0	0	2	5	3	0	1	1	2	1	1	0	0	0
20	0	0	3	2	3	2	1	1	1	1	2	0	0	0
21	0	1	0	1	4	2	3	1	1	2	1	0	0	0
22	0	0	2	3	4	1	0	2	2	2	0	0	0	0
23	1	0	0	3	2	4	1	1	2	1	0	0	1	0
24	0	1	2	3	2	2	1	2	0	2	0	0	0	1
25	0	0	3	2	1	4	0	2	0	1	1	2	0	0
