Opening	Count	%
G1-A1-Q-A1	79	17.555555
G1-Q-A1-A1	44	9.777778
G1-Q-S1-S1	27	6.0
L1-A1-Q-A1	23	5.111111
S1-Q-A1-A1	22	4.888889
S1-A1-Q-A1	15	3.3333333
G1-Q-A1-S1	13	2.8888888
G1-Q-A1-A2	13	2.8888888
G1-A1-Q-A2	13	2.8888888
P-Q-A1-A1	10	2.2222223
B1-Q-A1-A1	10	2.2222223
S1-Q-S2-S2	9	2.0
B1-A1-Q-A1	9	2.0
G1-Q-S1-A1	8	1.7777778
P-A1-Q-A1	7	1.5555556
S1-Q-A1-A2	5	1.1111112
G1-Q-B1-B1	5	1.1111112
G1-A1-Q-S1	5	1.1111112
S1-S2-A1-Q	4	0.8888889
P-Q-S1-S1	4	0.8888889
P-Q-A1-A2	4	0.8888889
G1-S1-Q-S1	4	0.8888889
G1-Q-S1-S2	4	0.8888889
B1-Q-A1-S1	4	0.8888889
S1-Q-S2-A1	3	0.6666667
S1-Q-A1-S2	3	0.6666667
S1-A1-Q-A2	3	0.6666667
G1-S1-Q-A1	3	0.6666667
G1-Q-A1-M1	3	0.6666667
B1-A1-Q-A2	3	0.6666667
S1-S2-Q-S2	2	0.44444445
S1-B1-Q-P	2	0.44444445
S1-A1-A2-Q	2	0.44444445
Q-G1-A1-A1	2	0.44444445
P-Q-B1-B1	2	0.44444445
L1-M1-Q-A1	2	0.44444445
G1-Q-A1-G2	2	0.44444445
G1-Q-A1-B1	2	0.44444445
G1-A1-Q-P	2	0.44444445
G1-A1-G2-Q	2	0.44444445
B1-S1-Q-A1	2	0.44444445
B1-A1-Q-M1	2	0.44444445
S1-S2-G1-Q	1	0.22222222
S1-Q-P-G1	1	0.22222222
S1-Q-P-A1	1	0.22222222
S1-Q-M1-M1	1	0.22222222
S1-Q-G1-G1	1	0.22222222
S1-Q-G1-A1	1	0.22222222
S1-Q-B1-S2	1	0.22222222
S1-Q-A1-M1	1	0.22222222
S1-G1-Q-S2	1	0.22222222
S1-G1-Q-B1	1	0.22222222
S1-G1-A1-Q	1	0.22222222
S1-B1-Q-B1	1	0.22222222
S1-B1-Q-A1	1	0.22222222
S1-B1-G1-Q	1	0.22222222
S1-A1-Q-S2	1	0.22222222
S1-A1-Q-Q	1	0.22222222
Q-S1-A1-S1	1	0.22222222
Q-S1-A1-A1	1	0.22222222
Q-B1-A1-B1	1	0.22222222
Q-A1-A2-A2	1	0.22222222
Q-A1-A2-A1	1	0.22222222
Q-A1-A1-M1	1	0.22222222
Q-A1-A1-G1	1	0.22222222
Q-A1-A1-B1	1	0.22222222
P-M1-Q-B1	1	0.22222222
P-A1-Q-S1	1	0.22222222
P-A1-Q-M1	1	0.22222222
M1-Q-A1-B1	1	0.22222222
L1-Q-S1-A1	1	0.22222222
L1-Q-A1-A2	1	0.22222222
L1-Q-A1-A1	1	0.22222222
L1-G1-S1-Q	1	0.22222222
L1-G1-Q-S1	1	0.22222222
L1-A1-Q-S1	1	0.22222222
L1-A1-Q-M1	1	0.22222222
L1-A1-Q-A2	1	0.22222222
G1-S1-S2-Q	1	0.22222222
G1-S1-Q-S2	1	0.22222222
G1-S1-Q-G2	1	0.22222222
G1-Q-S1-G1	1	0.22222222
G1-Q-S1-B1	1	0.22222222
G1-Q-M1-L1	1	0.22222222
G1-Q-G2-G2	1	0.22222222
G1-Q-B1-A1	1	0.22222222
G1-Q-A1-Q	1	0.22222222
G1-G2-Q-S1	1	0.22222222
G1-G2-Q-A1	1	0.22222222
G1-G2-G3-Q	1	0.22222222
G1-G2-A1-Q	1	0.22222222
G1-B1-Q-S1	1	0.22222222
G1-B1-Q-M1	1	0.22222222
G1-B1-Q-B1	1	0.22222222
G1-A1-S1-Q	1	0.22222222
G1-A1-Q-M1	1	0.22222222
G1-A1-Q-B1	1	0.22222222
G1-A1-B1-Q	1	0.22222222
G1-A1-A2-Q	1	0.22222222
B1-S1-S2-Q	1	0.22222222
B1-S1-Q-G1	1	0.22222222
B1-S1-A1-Q	1	0.22222222
B1-Q-S1-S2	1	0.22222222
B1-Q-S1-A1	1	0.22222222
B1-Q-Q-A1	1	0.22222222
B1-Q-G1-G1	1	0.22222222
B1-P-Q-A1	1	0.22222222
B1-M1-Q-A1	1	0.22222222
B1-A1-Q-P	1	0.22222222
Total	450
