Turns	0	1	2	3	4	5	6
1	542	4	0	0	0	0	0
2	423	119	4	0	0	0	0
3	179	186	175	5	1	0	0
4	49	228	169	92	8	0	0
5	0	163	229	126	28	0	0
6	0	134	235	148	26	3	0
7	0	108	255	146	34	3	0
8	0	98	203	184	59	2	0
9	0	73	202	192	71	8	0
10	0	74	193	187	80	12	0
11	0	70	191	173	95	17	0
12	0	66	172	181	106	21	0
13	0	57	169	190	100	30	0
14	0	44	185	174	110	33	0
15	0	39	166	167	126	48	0
16	0	32	171	172	128	43	0
17	0	28	148	185	134	51	0
18	0	20	135	191	141	59	0
19	0	17	112	198	146	73	0
20	0	12	83	199	168	84	0
21	0	5	56	190	206	89	0
22	0	2	17	166	248	113	0
23	0	0	5	47	322	172	0
24	0	0	0	7	79	460	0
25	0	0	0	0	0	77	469
